Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-06-01,2009,6,40,700
2011-11-01,2011,11,15,931
2011-12-01,2011,12,24,847
2012-01-01,2012,1,89,857
2012-11-01,2012,11,168,1197
2012-12-01,2012,12,228,1214
2013-01-01,2013,1,125,1228
2013-07-01,2013,7,8,2500
2014-01-01,2014,1,12,1181
2014-12-01,2014,12,11,2100
2015-07-01,2015,7,3,1172
2015-08-01,2015,8,10,2100
2018-06-01,2018,6,36,1311
2018-07-01,2018,7,33,1356
2018-08-01,2018,8,41,1419
2018-11-01,2018,11,24,1593
2018-12-01,2018,12,30,1551
2019-01-01,2019,1,32,1580
2019-06-01,2019,6,14,2180
2019-07-01,2019,7,7,2329
2019-08-01,2019,8,15,2648
2019-11-01,2019,11,53,1878
2019-12-01,2019,12,29,1571
