Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1089,508
2002-07-01,2002,7,998,546
2002-08-01,2002,8,26,600
2002-11-01,2002,11,3883,485
2002-12-01,2002,12,2297,503
2003-01-01,2003,1,4637,498
2003-06-01,2003,6,1163,535
2003-07-01,2003,7,831,554
2003-08-01,2003,8,135,568
2003-11-01,2003,11,1137,481
2003-12-01,2003,12,4702,474
2004-01-01,2004,1,8773,529
2004-06-01,2004,6,427,558
2004-07-01,2004,7,1098,598
2004-11-01,2004,11,3851,471
2004-12-01,2004,12,8069,478
2005-01-01,2005,1,10306,478
2005-11-01,2005,11,14374,515
2005-12-01,2005,12,2998,482
2006-01-01,2006,1,8505,500
2006-06-01,2006,6,494,505
2006-07-01,2006,7,10,530
2006-11-01,2006,11,3936,596
2006-12-01,2006,12,3903,684
2007-01-01,2007,1,6263,683
2007-06-01,2007,6,1138,739
2007-07-01,2007,7,152,735
2007-08-01,2007,8,994,638
2007-11-01,2007,11,357,659
2007-12-01,2007,12,719,641
2008-01-01,2008,1,4268,683
2008-06-01,2008,6,4694,803
2008-07-01,2008,7,910,862
2008-11-01,2008,11,773,785
2008-12-01,2008,12,700,735
2009-01-01,2009,1,1575,709
2009-06-01,2009,6,1703,824
2009-07-01,2009,7,4764,820
2009-08-01,2009,8,235,813
2009-11-01,2009,11,757,801
2009-12-01,2009,12,3818,805
2010-01-01,2010,1,6001,809
2010-06-01,2010,6,797,829
2010-07-01,2010,7,988,967
2010-08-01,2010,8,789,1039
2010-11-01,2010,11,404,807
2010-12-01,2010,12,992,849
2011-01-01,2011,1,1643,865
2011-06-01,2011,6,380,1054
2011-07-01,2011,7,3314,1078
2011-08-01,2011,8,2409,1033
2011-11-01,2011,11,5780,988
2011-12-01,2011,12,5112,1018
2012-01-01,2012,1,7278,1082
2012-06-01,2012,6,5179,1058
2012-07-01,2012,7,2439,1234
2012-08-01,2012,8,216,1302
2012-11-01,2012,11,5028,1256
2012-12-01,2012,12,7668,1305
2013-01-01,2013,1,6361,1277
2013-06-01,2013,6,5769,1284
2013-07-01,2013,7,3514,1466
2013-08-01,2013,8,742,1400
2013-11-01,2013,11,2305,1181
2013-12-01,2013,12,4036,1098
2014-01-01,2014,1,3033,1134
2014-06-01,2014,6,4817,1241
2014-07-01,2014,7,963,1242
2014-08-01,2014,8,326,1254
2014-11-01,2014,11,1206,1044
2014-12-01,2014,12,11784,1040
2015-01-01,2015,1,76203,1062
2015-06-01,2015,6,2684,1252
2015-07-01,2015,7,3011,1279
2015-08-01,2015,8,734,1404
2015-11-01,2015,11,5706,1287
2015-12-01,2015,12,13216,1363
2016-01-01,2016,1,2565,1376
2016-06-01,2016,6,1698,1513
2016-07-01,2016,7,678,1671
2016-08-01,2016,8,1133,1650
2016-11-01,2016,11,7779,1366
2016-12-01,2016,12,19433,1365
2017-01-01,2017,1,23184,1398
2017-06-01,2017,6,5439,1519
2017-07-01,2017,7,1593,1585
2017-08-01,2017,8,1292,1603
2017-11-01,2017,11,16821,1166
2017-12-01,2017,12,17656,1147
2018-01-01,2018,1,16298,1112
2018-06-01,2018,6,8727,1196
2018-07-01,2018,7,4712,1227
2018-08-01,2018,8,2101,1324
2018-11-01,2018,11,15947,1358
2018-12-01,2018,12,23340,1548
2019-01-01,2019,1,11599,1680
2019-06-01,2019,6,3075,2115
2019-07-01,2019,7,655,2288
2019-08-01,2019,8,1267,2238
2019-11-01,2019,11,6938,1715
2019-12-01,2019,12,5197,1763
