Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,568,548
2002-07-01,2002,7,507,586
2002-08-01,2002,8,694,625
2002-11-01,2002,11,1502,493
2002-12-01,2002,12,558,511
2003-01-01,2003,1,632,515
2003-06-01,2003,6,717,583
2003-07-01,2003,7,141,601
2003-08-01,2003,8,278,563
2003-11-01,2003,11,827,504
2003-12-01,2003,12,657,493
2004-01-01,2004,1,885,499
2004-06-01,2004,6,209,576
2004-07-01,2004,7,215,595
2004-08-01,2004,8,263,646
2004-11-01,2004,11,948,485
2004-12-01,2004,12,916,482
2005-01-01,2005,1,685,469
2005-06-01,2005,6,465,531
2005-07-01,2005,7,145,541
2005-08-01,2005,8,81,550
2005-11-01,2005,11,868,507
2005-12-01,2005,12,750,505
2006-01-01,2006,1,378,498
2007-06-01,2007,6,753,737
2007-07-01,2007,7,282,755
2007-11-01,2007,11,631,627
2007-12-01,2007,12,549,616
2008-01-01,2008,1,1007,674
2008-06-01,2008,6,1355,1012
2008-07-01,2008,7,410,1103
2008-08-01,2008,8,403,1192
2008-11-01,2008,11,830,849
2008-12-01,2008,12,224,835
2009-01-01,2009,1,290,838
2009-06-01,2009,6,114,908
2009-07-01,2009,7,217,906
2009-08-01,2009,8,12,780
2009-11-01,2009,11,1245,846
2009-12-01,2009,12,1868,844
2010-01-01,2010,1,1515,841
2010-06-01,2010,6,758,969
2010-07-01,2010,7,739,1012
2010-08-01,2010,8,990,1046
2010-11-01,2010,11,2503,858
2010-12-01,2010,12,3715,869
2011-01-01,2011,1,1512,889
2011-06-01,2011,6,1137,1158
2011-07-01,2011,7,819,1178
2011-08-01,2011,8,731,1212
2011-11-01,2011,11,7875,1011
2011-12-01,2011,12,5082,1030
2012-01-01,2012,1,4720,1114
2012-06-01,2012,6,1273,1122
2012-07-01,2012,7,2045,1307
2012-08-01,2012,8,2328,1410
2012-11-01,2012,11,4202,1294
2012-12-01,2012,12,5580,1331
2013-01-01,2013,1,3675,1334
2013-06-01,2013,6,2109,1417
2013-07-01,2013,7,1089,1502
2013-08-01,2013,8,827,1493
2013-11-01,2013,11,3443,1206
2013-12-01,2013,12,2271,1151
2014-01-01,2014,1,3173,1138
2014-06-01,2014,6,2157,1335
2014-07-01,2014,7,672,1329
2014-08-01,2014,8,325,1368
2014-11-01,2014,11,2499,1040
2014-12-01,2014,12,13296,1048
2015-01-01,2015,1,89028,1075
2015-06-01,2015,6,1134,1342
2015-07-01,2015,7,1028,1441
2015-08-01,2015,8,1373,1467
2015-11-01,2015,11,6795,1344
2015-12-01,2015,12,10210,1398
2016-01-01,2016,1,3262,1379
2016-06-01,2016,6,1380,1586
2016-07-01,2016,7,1466,1720
2016-08-01,2016,8,1124,1701
2016-11-01,2016,11,5870,1411
2016-12-01,2016,12,8746,1394
2017-01-01,2017,1,9943,1405
2017-06-01,2017,6,1997,1584
2017-07-01,2017,7,1068,1644
2017-08-01,2017,8,397,1663
2017-11-01,2017,11,4103,1203
2017-12-01,2017,12,7141,1149
2018-01-01,2018,1,7029,1123
2018-06-01,2018,6,1905,1246
2018-07-01,2018,7,2761,1227
2018-08-01,2018,8,1659,1337
2018-11-01,2018,11,10046,1399
2018-12-01,2018,12,9512,1573
2019-01-01,2019,1,9575,1658
2019-06-01,2019,6,106,2210
2019-07-01,2019,7,50,2575
2019-08-01,2019,8,160,2404
2019-11-01,2019,11,6975,1779
2019-12-01,2019,12,13010,1850
