Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,361,467
2002-06-01,2002,6,1313,508
2002-07-01,2002,7,389,511
2002-08-01,2002,8,587,547
2002-11-01,2002,11,1994,474
2002-12-01,2002,12,1206,488
2003-01-01,2003,1,1250,498
2003-06-01,2003,6,533,568
2003-07-01,2003,7,181,553
2003-08-01,2003,8,114,574
2003-11-01,2003,11,103,497
2003-12-01,2003,12,529,498
2004-01-01,2004,1,1884,499
2004-06-01,2004,6,127,492
2004-08-01,2004,8,15,525
2004-11-01,2004,11,1075,479
2004-12-01,2004,12,5013,486
2005-01-01,2005,1,1638,479
2005-06-01,2005,6,148,514
2005-07-01,2005,7,16,545
2005-08-01,2005,8,75,495
2005-11-01,2005,11,1330,493
2005-12-01,2005,12,2428,490
2006-01-01,2006,1,3676,490
2006-06-01,2006,6,10,500
2006-07-01,2006,7,25,542
2006-11-01,2006,11,3980,549
2006-12-01,2006,12,2189,591
2007-01-01,2007,1,1890,627
2007-06-01,2007,6,89,712
2007-07-01,2007,7,15,800
2007-08-01,2007,8,32,785
2007-12-01,2007,12,5327,638
2008-01-01,2008,1,6780,641
2008-06-01,2008,6,331,813
2008-07-01,2008,7,321,908
2008-08-01,2008,8,471,980
2008-11-01,2008,11,637,767
2008-12-01,2008,12,189,762
2009-01-01,2009,1,50,758
2009-06-01,2009,6,87,790
2009-07-01,2009,7,106,873
2009-11-01,2009,11,1098,791
2009-12-01,2009,12,1979,814
2010-01-01,2010,1,3208,790
2010-06-01,2010,6,405,891
2010-07-01,2010,7,762,919
2010-08-01,2010,8,1332,962
2010-11-01,2010,11,28,940
2010-12-01,2010,12,2670,898
2011-01-01,2011,1,4244,891
2011-06-01,2011,6,595,1055
2011-07-01,2011,7,181,1136
2011-08-01,2011,8,392,1141
2011-11-01,2011,11,2711,1036
2011-12-01,2011,12,1203,1042
2012-01-01,2012,1,3641,1109
2012-06-01,2012,6,278,1016
2012-07-01,2012,7,499,1292
2012-08-01,2012,8,707,1345
2012-11-01,2012,11,669,1273
2012-12-01,2012,12,3052,1346
2013-01-01,2013,1,1999,1358
2013-06-01,2013,6,398,1371
2013-07-01,2013,7,1189,1425
2013-08-01,2013,8,509,1434
2013-11-01,2013,11,1015,1244
2013-12-01,2013,12,556,1310
2014-01-01,2014,1,490,1617
2014-06-01,2014,6,496,1305
2014-07-01,2014,7,1247,1303
2014-12-01,2014,12,459,1125
2015-01-01,2015,1,34604,1113
2015-06-01,2015,6,3344,2252
2015-07-01,2015,7,783,1393
2015-08-01,2015,8,1099,1428
2015-11-01,2015,11,1330,1320
2015-12-01,2015,12,1846,1409
2016-01-01,2016,1,2973,1420
2016-06-01,2016,6,900,1529
2016-07-01,2016,7,605,1750
2016-08-01,2016,8,1402,1751
2016-11-01,2016,11,1853,1422
2016-12-01,2016,12,2963,1415
2017-01-01,2017,1,3455,1438
2017-06-01,2017,6,382,1556
2017-07-01,2017,7,104,1570
2017-08-01,2017,8,182,1592
2017-11-01,2017,11,169,1343
2017-12-01,2017,12,388,1199
2018-01-01,2018,1,303,1188
2018-06-01,2018,6,143,1136
2018-07-01,2018,7,280,1145
2018-08-01,2018,8,543,1261
2018-11-01,2018,11,1252,1389
2018-12-01,2018,12,751,1552
2019-01-01,2019,1,438,1623
2019-11-01,2019,11,255,1647
2019-12-01,2019,12,820,1780
