Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-07-01,2003,7,27,620
2003-08-01,2003,8,10,590
2003-11-01,2003,11,902,460
2003-12-01,2003,12,1075,469
2004-01-01,2004,1,1194,526
2004-06-01,2004,6,30,568
2004-07-01,2004,7,10,550
2004-11-01,2004,11,2759,451
2004-12-01,2004,12,1996,450
2005-01-01,2005,1,802,454
2005-06-01,2005,6,2074,505
2005-07-01,2005,7,77,500
2005-08-01,2005,8,20,500
2005-11-01,2005,11,1732,459
2005-12-01,2005,12,2110,461
2006-01-01,2006,1,1090,470
2006-06-01,2006,6,231,581
2006-07-01,2006,7,246,603
2006-08-01,2006,8,186,675
2006-11-01,2006,11,2666,558
2006-12-01,2006,12,1725,612
2007-01-01,2007,1,373,678
2007-06-01,2007,6,494,759
2007-07-01,2007,7,943,757
2007-08-01,2007,8,696,700
2007-11-01,2007,11,2395,579
2007-12-01,2007,12,3364,588
2008-01-01,2008,1,2203,652
2008-06-01,2008,6,72,900
2008-07-01,2008,7,57,935
2008-11-01,2008,11,2648,757
2008-12-01,2008,12,2217,779
2009-01-01,2009,1,1047,722
2009-06-01,2009,6,554,840
2009-07-01,2009,7,28,859
2009-11-01,2009,11,14391,826
2009-12-01,2009,12,14981,825
2010-01-01,2010,1,11746,786
2010-06-01,2010,6,1227,1048
2010-07-01,2010,7,618,1055
2010-08-01,2010,8,81,921
2010-11-01,2010,11,8026,962
2010-12-01,2010,12,21214,956
2011-01-01,2011,1,23049,965
2011-06-01,2011,6,568,1246
2011-07-01,2011,7,550,1203
2011-08-01,2011,8,158,1044
2011-11-01,2011,11,19295,1085
2011-12-01,2011,12,10942,1121
2012-01-01,2012,1,16880,1208
2012-06-01,2012,6,513,995
2012-07-01,2012,7,100,1082
2012-08-01,2012,8,152,1212
2012-11-01,2012,11,9113,1446
2012-12-01,2012,12,16747,1486
2013-01-01,2013,1,21365,1504
2013-06-01,2013,6,589,1377
2013-07-01,2013,7,593,1228
2013-08-01,2013,8,132,1280
2014-01-01,2014,1,18058,1152
2014-06-01,2014,6,461,1255
2014-07-01,2014,7,123,1249
2014-08-01,2014,8,3068,1257
2014-11-01,2014,11,18678,1035
2014-12-01,2014,12,23335,1079
2015-01-01,2015,1,215186,1150
2015-06-01,2015,6,906,1247
2015-07-01,2015,7,320,1376
2015-08-01,2015,8,336,1467
2015-11-01,2015,11,10305,1537
2015-12-01,2015,12,15139,1458
2016-01-01,2016,1,10901,1435
2016-06-01,2016,6,226,1380
2016-07-01,2016,7,51,1567
2016-08-01,2016,8,227,1255
2016-11-01,2016,11,12003,1354
2016-12-01,2016,12,13706,1421
2017-01-01,2017,1,10010,1493
2017-06-01,2017,6,420,1487
2017-07-01,2017,7,186,1545
2017-08-01,2017,8,239,1584
2017-11-01,2017,11,45371,1177
2017-12-01,2017,12,39544,1303
2018-01-01,2018,1,46386,1242
2018-06-01,2018,6,1404,1119
2018-07-01,2018,7,159,1100
2018-08-01,2018,8,63,1782
2018-11-01,2018,11,19758,1279
2018-12-01,2018,12,20071,1487
2019-01-01,2019,1,27370,1738
2019-06-01,2019,6,143,1741
2019-07-01,2019,7,142,2175
2019-08-01,2019,8,602,2284
2019-11-01,2019,11,24905,1804
2019-12-01,2019,12,29180,1843
