Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1190,483
2002-07-01,2002,7,2537,492
2002-08-01,2002,8,1632,490
2002-11-01,2002,11,3159,454
2002-12-01,2002,12,6426,466
2003-01-01,2003,1,2839,514
2003-06-01,2003,6,1718,506
2003-07-01,2003,7,1480,552
2003-08-01,2003,8,1199,568
2003-11-01,2003,11,4293,459
2003-12-01,2003,12,534,464
2004-01-01,2004,1,5471,445
2004-07-01,2004,7,15,500
2004-11-01,2004,11,3624,457
2004-12-01,2004,12,10584,455
2005-01-01,2005,1,3104,443
2005-06-01,2005,6,1300,483
2005-07-01,2005,7,704,529
2005-08-01,2005,8,280,525
2005-11-01,2005,11,1897,513
2006-01-01,2006,1,18962,494
2006-07-01,2006,7,71,600
2006-08-01,2006,8,10,850
2006-11-01,2006,11,4666,565
2006-12-01,2006,12,1550,596
2007-01-01,2007,1,5034,642
2007-06-01,2007,6,1172,708
2007-07-01,2007,7,382,750
2007-08-01,2007,8,461,700
2007-11-01,2007,11,2132,614
2007-12-01,2007,12,2421,622
2008-01-01,2008,1,7500,668
2008-06-01,2008,6,843,762
2008-07-01,2008,7,2789,847
2008-08-01,2008,8,761,895
2008-11-01,2008,11,1078,855
2008-12-01,2008,12,230,815
2009-01-01,2009,1,6290,831
2009-06-01,2009,6,35789,814
2009-11-01,2009,11,966,804
2009-12-01,2009,12,8358,822
2010-01-01,2010,1,3741,827
2010-06-01,2010,6,704,842
2010-07-01,2010,7,1393,907
2010-08-01,2010,8,1141,958
2010-11-01,2010,11,1561,882
2010-12-01,2010,12,4463,866
2011-01-01,2011,1,13238,888
2011-06-01,2011,6,7386,1135
2011-07-01,2011,7,4899,1081
2011-08-01,2011,8,5268,1111
2011-11-01,2011,11,2245,1022
2011-12-01,2011,12,10155,1031
2012-01-01,2012,1,5423,1071
2012-06-01,2012,6,8744,1058
2012-07-01,2012,7,7491,1169
2012-08-01,2012,8,9499,1308
2012-11-01,2012,11,6577,1296
2012-12-01,2012,12,14790,1316
2013-01-01,2013,1,11073,1340
2013-06-01,2013,6,5926,1340
2013-07-01,2013,7,9100,1438
2013-08-01,2013,8,3413,1415
2014-01-01,2014,1,2676,1136
2014-06-01,2014,6,1948,1228
2014-07-01,2014,7,4617,1258
2014-08-01,2014,8,802,1279
2014-11-01,2014,11,3914,1064
2014-12-01,2014,12,3786,1048
2015-01-01,2015,1,766723,1114
2015-06-01,2015,6,6401,1281
2015-07-01,2015,7,2027,1329
2015-08-01,2015,8,7419,1434
2015-11-01,2015,11,7643,1362
2015-12-01,2015,12,13513,1402
2016-01-01,2016,1,11845,1403
2016-06-01,2016,6,3006,1595
2016-07-01,2016,7,5018,1729
2016-08-01,2016,8,10998,1713
2016-11-01,2016,11,6447,1401
2016-12-01,2016,12,10132,1399
2017-01-01,2017,1,13412,1400
2017-06-01,2017,6,3822,1575
2017-07-01,2017,7,2750,1595
2017-08-01,2017,8,1397,1582
2017-11-01,2017,11,8670,1160
2017-12-01,2017,12,11505,1142
2018-01-01,2018,1,8432,1153
2018-06-01,2018,6,6493,1180
2018-07-01,2018,7,9982,1229
2018-08-01,2018,8,4567,1322
2018-11-01,2018,11,7370,1388
2018-12-01,2018,12,13697,1528
2019-01-01,2019,1,17891,1661
2019-06-01,2019,6,1540,2100
2019-07-01,2019,7,426,2133
2019-08-01,2019,8,152,2225
2019-11-01,2019,11,3190,1629
2019-12-01,2019,12,5552,1775
