Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-08-01,2003,8,20,500
2009-11-01,2009,11,23,835
2009-12-01,2009,12,37,786
2010-12-01,2010,12,62,772
2011-01-01,2011,1,55,852
2016-07-01,2016,7,17,1740
2016-08-01,2016,8,10,1667
2016-11-01,2016,11,45,1503
2016-12-01,2016,12,16,1395
2017-01-01,2017,1,20,1459
2017-06-01,2017,6,33,1410
2017-07-01,2017,7,17,1525
2017-08-01,2017,8,7,1558
2017-11-01,2017,11,64,1270
2018-01-01,2018,1,328,1635
2018-06-01,2018,6,100,2106
2018-07-01,2018,7,19,3045
2018-08-01,2018,8,78,2956
2018-11-01,2018,11,259,2526
2018-12-01,2018,12,220,2347
2019-01-01,2019,1,200,2304
2019-08-01,2019,8,619,2314
2019-11-01,2019,11,139,3209
2019-12-01,2019,12,185,2355
