Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2012-06-01,2012,6,1235,1264
2012-07-01,2012,7,939,1394
2012-08-01,2012,8,318,1497
2012-11-01,2012,11,528,1420
2012-12-01,2012,12,2195,1457
2013-01-01,2013,1,3770,1470
2013-06-01,2013,6,1250,1467
2013-07-01,2013,7,628,1523
2013-08-01,2013,8,34,1375
2013-11-01,2013,11,297,1276
2013-12-01,2013,12,1423,1274
2014-01-01,2014,1,3174,1252
2014-06-01,2014,6,683,1442
2014-07-01,2014,7,268,1456
2014-11-01,2014,11,481,1164
2014-12-01,2014,12,2795,1217
2015-01-01,2015,1,72358,1214
2015-06-01,2015,6,838,1420
2015-07-01,2015,7,1272,1498
2015-08-01,2015,8,1065,1505
2015-11-01,2015,11,1263,1408
2015-12-01,2015,12,12231,1475
2016-01-01,2016,1,16307,1432
2016-07-01,2016,7,164,1753
2016-08-01,2016,8,18,1300
2016-11-01,2016,11,307,1479
2016-12-01,2016,12,10833,1416
2017-01-01,2017,1,17486,1428
2017-06-01,2017,6,324,1580
2017-07-01,2017,7,1669,1614
2017-08-01,2017,8,485,1643
2017-11-01,2017,11,476,1303
2017-12-01,2017,12,1174,1282
2018-01-01,2018,1,5385,1201
2018-06-01,2018,6,3117,1265
2018-07-01,2018,7,585,1208
2018-08-01,2018,8,614,1286
2018-11-01,2018,11,1453,1415
2018-12-01,2018,12,8595,1591
2019-01-01,2019,1,10271,1711
2019-06-01,2019,6,284,1785
2019-08-01,2019,8,15,1700
2019-11-01,2019,11,532,1829
2019-12-01,2019,12,3117,1846
