Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,521,466
2002-12-01,2002,12,38,478
2003-01-01,2003,1,14,475
2003-06-01,2003,6,6,560
2003-07-01,2003,7,9,570
2004-01-01,2004,1,11,482
2004-06-01,2004,6,10,625
2004-07-01,2004,7,22,525
2004-08-01,2004,8,102,531
2004-11-01,2004,11,842,474
2004-12-01,2004,12,277,485
2005-01-01,2005,1,219,485
2005-06-01,2005,6,92,538
2005-07-01,2005,7,67,527
2005-08-01,2005,8,2,520
2005-11-01,2005,11,80,487
2005-12-01,2005,12,189,454
2006-06-01,2006,6,84,529
2006-07-01,2006,7,42,545
2006-08-01,2006,8,25,553
2006-11-01,2006,11,670,541
2006-12-01,2006,12,540,552
2007-01-01,2007,1,92,587
2007-06-01,2007,6,56,662
2007-07-01,2007,7,139,651
2007-08-01,2007,8,95,624
2007-11-01,2007,11,1831,520
2007-12-01,2007,12,1101,540
2008-01-01,2008,1,474,567
2008-06-01,2008,6,79,650
2008-07-01,2008,7,165,650
2008-08-01,2008,8,8,650
2008-11-01,2008,11,2078,645
2008-12-01,2008,12,438,671
2009-01-01,2009,1,360,678
2009-06-01,2009,6,52,720
2009-08-01,2009,8,6,700
2009-11-01,2009,11,3075,769
2009-12-01,2009,12,2046,821
2010-01-01,2010,1,503,786
2010-06-01,2010,6,70,940
2010-07-01,2010,7,16,1150
2010-11-01,2010,11,2652,810
2010-12-01,2010,12,4136,828
2011-01-01,2011,1,3582,819
2011-06-01,2011,6,85,1342
2011-07-01,2011,7,126,1034
2011-08-01,2011,8,192,1172
2011-11-01,2011,11,4344,952
2011-12-01,2011,12,2084,995
2012-01-01,2012,1,48,1083
2012-06-01,2012,6,145,872
2012-07-01,2012,7,312,1258
2012-08-01,2012,8,10,1000
2012-11-01,2012,11,2700,1092
2012-12-01,2012,12,4652,1165
2013-01-01,2013,1,2110,1200
2013-06-01,2013,6,50,1300
2013-07-01,2013,7,63,1419
2013-08-01,2013,8,42,1500
2013-11-01,2013,11,627,1310
2013-12-01,2013,12,1143,1125
2014-01-01,2014,1,1437,1173
2014-06-01,2014,6,72,1205
2014-07-01,2014,7,45,1400
2014-08-01,2014,8,26,1477
2014-11-01,2014,11,8075,1157
2014-12-01,2014,12,6214,1105
2015-01-01,2015,1,21232,1077
2015-06-01,2015,6,68,1000
2015-07-01,2015,7,6,1300
2015-08-01,2015,8,21,1500
2015-11-01,2015,11,5907,1278
2015-12-01,2015,12,4694,1242
2016-01-01,2016,1,717,1223
2016-06-01,2016,6,110,1550
2016-07-01,2016,7,477,1685
2016-08-01,2016,8,199,1752
2016-11-01,2016,11,2904,1381
2016-12-01,2016,12,3253,1454
2017-01-01,2017,1,1397,1466
2017-06-01,2017,6,58,1352
2017-07-01,2017,7,198,1472
2017-08-01,2017,8,30,1425
2017-11-01,2017,11,9881,1148
2017-12-01,2017,12,3608,1135
2018-01-01,2018,1,2420,1125
2018-06-01,2018,6,196,1183
2018-07-01,2018,7,462,1252
2018-08-01,2018,8,84,1200
2018-11-01,2018,11,5859,1357
2018-12-01,2018,12,1441,1438
2019-01-01,2019,1,558,1612
2019-06-01,2019,6,61,2020
2019-07-01,2019,7,147,2400
2019-08-01,2019,8,99,2120
2019-11-01,2019,11,1254,1664
2019-12-01,2019,12,995,1750
