Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,21,505
2002-07-01,2002,7,198,546
2002-08-01,2002,8,188,592
2003-08-01,2003,8,53,560
2005-07-01,2005,7,36,508
2005-08-01,2005,8,31,518
2005-11-01,2005,11,380,488
2005-12-01,2005,12,495,478
2006-01-01,2006,1,222,476
2006-06-01,2006,6,29,480
2006-07-01,2006,7,27,521
2006-11-01,2006,11,485,602
2006-12-01,2006,12,333,606
2007-01-01,2007,1,257,617
2007-06-01,2007,6,74,675
2007-07-01,2007,7,63,667
2007-08-01,2007,8,60,700
2007-11-01,2007,11,1117,636
2007-12-01,2007,12,326,613
2008-01-01,2008,1,128,615
2008-06-01,2008,6,145,838
2008-07-01,2008,7,20,1025
2008-08-01,2008,8,20,1050
2008-11-01,2008,11,338,850
2008-12-01,2008,12,490,845
2009-01-01,2009,1,57,750
2009-06-01,2009,6,223,843
2009-11-01,2009,11,2823,793
2009-12-01,2009,12,1281,801
2010-01-01,2010,1,213,789
2010-06-01,2010,6,374,873
2010-07-01,2010,7,117,948
2010-08-01,2010,8,632,888
2010-11-01,2010,11,3142,874
2010-12-01,2010,12,5294,887
2011-01-01,2011,1,3885,866
2011-06-01,2011,6,62,950
2011-07-01,2011,7,271,1073
2011-08-01,2011,8,130,1006
2011-11-01,2011,11,10495,1007
2011-12-01,2011,12,6198,1005
2012-01-01,2012,1,4556,1067
2012-06-01,2012,6,18,1055
2012-07-01,2012,7,492,1260
2012-08-01,2012,8,183,1360
2012-11-01,2012,11,2652,1258
2012-12-01,2012,12,2766,1282
2013-01-01,2013,1,1376,1271
2013-06-01,2013,6,333,1384
2013-07-01,2013,7,207,1420
2013-08-01,2013,8,138,1367
2014-01-01,2014,1,2923,1134
2014-06-01,2014,6,62,1274
2014-07-01,2014,7,138,1213
2014-08-01,2014,8,143,1284
2014-11-01,2014,11,3528,1058
2014-12-01,2014,12,6044,1019
2015-01-01,2015,1,77096,1023
2015-06-01,2015,6,522,1258
2015-07-01,2015,7,168,1300
2015-08-01,2015,8,153,1511
2015-11-01,2015,11,4540,1327
2015-12-01,2015,12,3007,1378
2016-01-01,2016,1,478,1375
2016-06-01,2016,6,396,1557
2016-07-01,2016,7,195,1720
2016-08-01,2016,8,145,1650
2016-11-01,2016,11,1482,1402
2016-12-01,2016,12,4888,1410
2017-01-01,2017,1,545,1428
2017-06-01,2017,6,1207,1520
2017-07-01,2017,7,470,1636
2017-08-01,2017,8,23,1550
2017-11-01,2017,11,1535,1168
2017-12-01,2017,12,3924,1158
2018-01-01,2018,1,2604,1116
2018-06-01,2018,6,129,1235
2018-07-01,2018,7,298,1268
2018-08-01,2018,8,186,1357
2018-11-01,2018,11,1092,1413
2018-12-01,2018,12,1116,1518
2019-01-01,2019,1,772,1706
2019-11-01,2019,11,692,1872
