Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,161,466
2002-07-01,2002,7,12,515
2002-08-01,2002,8,10,575
2002-11-01,2002,11,11,491
2002-12-01,2002,12,46,501
2003-01-01,2003,1,28,545
2007-11-01,2007,11,18,530
2007-12-01,2007,12,120,620
2008-01-01,2008,1,297,672
2008-06-01,2008,6,31,995
2008-11-01,2008,11,20,780
2009-01-01,2009,1,29,870
2009-06-01,2009,6,892,894
2009-07-01,2009,7,637,942
2009-11-01,2009,11,1518,854
2009-12-01,2009,12,1438,821
2010-01-01,2010,1,7556,839
2010-06-01,2010,6,374,972
2010-08-01,2010,8,102,1063
2010-11-01,2010,11,92,845
2010-12-01,2010,12,2969,905
2011-01-01,2011,1,1377,988
2011-06-01,2011,6,225,1099
2011-07-01,2011,7,108,1108
2011-08-01,2011,8,39,1000
2011-11-01,2011,11,178,990
2011-12-01,2011,12,1882,1004
2012-01-01,2012,1,1358,1056
2012-06-01,2012,6,234,1070
2012-07-01,2012,7,40,1175
2012-08-01,2012,8,54,1195
2012-11-01,2012,11,35,1330
2012-12-01,2012,12,477,1351
2013-01-01,2013,1,1302,1312
2013-06-01,2013,6,113,1440
2013-07-01,2013,7,19,1490
2013-08-01,2013,8,52,1490
2013-11-01,2013,11,310,1181
2013-12-01,2013,12,902,1166
2014-01-01,2014,1,970,1138
2014-06-01,2014,6,114,1250
2014-11-01,2014,11,130,1066
2014-12-01,2014,12,1530,1083
2015-01-01,2015,1,13901,1095
2015-06-01,2015,6,126,1302
2015-11-01,2015,11,478,1316
2015-12-01,2015,12,1110,1358
2016-01-01,2016,1,449,1355
2016-06-01,2016,6,60,1583
2016-07-01,2016,7,82,1753
2016-11-01,2016,11,277,1401
2016-12-01,2016,12,552,1412
2017-01-01,2017,1,223,1429
2017-06-01,2017,6,7,1400
2017-07-01,2017,7,7,1600
2017-11-01,2017,11,66,1233
2017-12-01,2017,12,48,1230
2018-01-01,2018,1,176,1282
2018-11-01,2018,11,617,1362
2018-12-01,2018,12,580,1541
2019-01-01,2019,1,399,1804
2019-06-01,2019,6,3,2000
2019-11-01,2019,11,237,1673
2019-12-01,2019,12,295,1811
