Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,10,500
2003-07-01,2003,7,62,600
2003-08-01,2003,8,112,575
2003-11-01,2003,11,297,344
2003-12-01,2003,12,275,465
2004-01-01,2004,1,152,496
2004-06-01,2004,6,20,500
2004-11-01,2004,11,191,480
2004-12-01,2004,12,486,497
2005-01-01,2005,1,24,469
2005-08-01,2005,8,14,475
2005-11-01,2005,11,318,493
2005-12-01,2005,12,159,499
2006-01-01,2006,1,61,496
2006-06-01,2006,6,8,500
2006-07-01,2006,7,10,400
2006-12-01,2006,12,50,545
2007-01-01,2007,1,10,600
2007-11-01,2007,11,670,587
2007-12-01,2007,12,461,676
2008-01-01,2008,1,213,634
2008-06-01,2008,6,34,812
2008-08-01,2008,8,122,806
2008-11-01,2008,11,290,816
2008-12-01,2008,12,44,792
2009-01-01,2009,1,41,775
2009-06-01,2009,6,162,846
2009-07-01,2009,7,1077,802
2009-08-01,2009,8,95,840
2009-11-01,2009,11,80,765
2009-12-01,2009,12,328,811
2010-01-01,2010,1,283,816
2010-06-01,2010,6,579,900
2010-08-01,2010,8,114,820
2010-11-01,2010,11,361,896
2010-12-01,2010,12,447,876
2011-01-01,2011,1,408,871
2011-06-01,2011,6,65,1127
2011-07-01,2011,7,40,1140
2011-08-01,2011,8,76,1090
2011-11-01,2011,11,108,1003
2011-12-01,2011,12,76,1000
2012-01-01,2012,1,74,1063
2012-07-01,2012,7,10,1850
2012-08-01,2012,8,60,1225
2012-11-01,2012,11,47,1248
2012-12-01,2012,12,83,1290
2013-01-01,2013,1,42,1240
2013-06-01,2013,6,65,1181
2013-07-01,2013,7,81,1283
2013-08-01,2013,8,73,1350
2013-11-01,2013,11,112,1258
2013-12-01,2013,12,179,1155
2014-01-01,2014,1,141,1186
2014-06-01,2014,6,26,1300
2014-07-01,2014,7,103,1225
2014-11-01,2014,11,24,1020
2014-12-01,2014,12,30,1200
2015-01-01,2015,1,150,1150
2015-08-01,2015,8,1,1500
2015-11-01,2015,11,79,1312
2015-12-01,2015,12,184,1400
2016-11-01,2016,11,20,1590
2017-07-01,2017,7,91,1650
2018-07-01,2018,7,3,1150
2018-08-01,2018,8,84,1160
2018-11-01,2018,11,3,1200
2019-01-01,2019,1,54,1800
2019-06-01,2019,6,3,1200
