Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,268,486
2002-12-01,2002,12,74,500
2003-01-01,2003,1,33,497
2003-11-01,2003,11,194,456
2003-12-01,2003,12,123,473
2004-01-01,2004,1,67,502
2004-11-01,2004,11,39,439
2004-12-01,2004,12,18,459
2005-01-01,2005,1,30,454
2005-11-01,2005,11,33,477
2005-12-01,2005,12,92,462
2006-01-01,2006,1,16,478
2006-11-01,2006,11,35,610
2006-12-01,2006,12,28,613
2007-01-01,2007,1,3,671
2007-06-01,2007,6,9,663
2007-11-01,2007,11,32,557
2007-12-01,2007,12,21,578
2008-01-01,2008,1,13,650
2008-06-01,2008,6,1,811
2008-07-01,2008,7,1,801
2008-08-01,2008,8,1,1000
2008-11-01,2008,11,11,748
2008-12-01,2008,12,35,734
2009-01-01,2009,1,17,741
2009-06-01,2009,6,4,1385
2009-11-01,2009,11,25,751
2009-12-01,2009,12,32,767
2010-01-01,2010,1,1398,800
2010-06-01,2010,6,666,956
2010-07-01,2010,7,108,924
2010-12-01,2010,12,103,827
2011-01-01,2011,1,36,847
2011-06-01,2011,6,2,1013
2011-07-01,2011,7,130,1136
2011-08-01,2011,8,346,1193
2011-11-01,2011,11,2105,1032
2011-12-01,2011,12,2441,1047
2012-01-01,2012,1,2591,1119
2012-06-01,2012,6,718,1075
2012-07-01,2012,7,118,1214
2012-08-01,2012,8,123,1321
2012-11-01,2012,11,9,1229
2012-12-01,2012,12,72,1293
2013-01-01,2013,1,50,1337
2013-06-01,2013,6,2,1314
2013-11-01,2013,11,80,1060
2013-12-01,2013,12,720,1071
2014-01-01,2014,1,1469,1083
2014-06-01,2014,6,37,1144
2014-08-01,2014,8,19,1213
2014-11-01,2014,11,22,1032
2014-12-01,2014,12,73,1048
2015-01-01,2015,1,703,1071
2015-06-01,2015,6,3,1183
2015-07-01,2015,7,2,1361
2015-11-01,2015,11,36,1340
2015-12-01,2015,12,68,1376
2016-01-01,2016,1,9,1391
2016-06-01,2016,6,361,1555
2016-07-01,2016,7,55,1787
2016-08-01,2016,8,7,1812
2016-11-01,2016,11,75,1336
2016-12-01,2016,12,130,1361
2017-01-01,2017,1,57,1364
2017-06-01,2017,6,117,1498
2017-07-01,2017,7,188,1511
2017-11-01,2017,11,366,1141
2017-12-01,2017,12,398,1148
2018-01-01,2018,1,304,1116
2018-06-01,2018,6,17,1165
2018-07-01,2018,7,4,1260
2018-08-01,2018,8,13,1176
2018-11-01,2018,11,479,1367
2018-12-01,2018,12,540,1556
2019-01-01,2019,1,90,1737
2019-06-01,2019,6,208,2060
2019-07-01,2019,7,11,2463
2019-11-01,2019,11,210,1584
2019-12-01,2019,12,397,1728
