Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-07-01,2008,7,24,840
2008-11-01,2008,11,410,650
2008-12-01,2008,12,30,811
2009-01-01,2009,1,117,813
2009-06-01,2009,6,13,750
2009-07-01,2009,7,120,745
2009-08-01,2009,8,10,730
2009-11-01,2009,11,40,787
2009-12-01,2009,12,1510,795
2010-01-01,2010,1,1502,807
2010-06-01,2010,6,1657,901
2010-07-01,2010,7,515,937
2010-08-01,2010,8,437,1025
2010-11-01,2010,11,21,880
2010-12-01,2010,12,740,823
2011-01-01,2011,1,682,842
2011-06-01,2011,6,418,1061
2011-07-01,2011,7,20,1200
2011-08-01,2011,8,100,915
2011-11-01,2011,11,289,987
2011-12-01,2011,12,3024,1006
2012-01-01,2012,1,3382,1040
2012-06-01,2012,6,328,1050
2012-07-01,2012,7,1129,1120
2012-08-01,2012,8,160,1100
2012-11-01,2012,11,170,1230
2012-12-01,2012,12,1370,1280
2013-01-01,2013,1,2092,1289
2013-06-01,2013,6,506,1304
2013-07-01,2013,7,1837,1307
2014-06-01,2014,6,15,1280
2014-08-01,2014,8,59,1250
2014-11-01,2014,11,143,1042
2014-12-01,2014,12,535,1050
2015-01-01,2015,1,8000,1023
