Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,50,500
2002-07-01,2002,7,76,580
2002-11-01,2002,11,68,449
2002-12-01,2002,12,41,406
2003-06-01,2003,6,120,589
2003-07-01,2003,7,207,540
2003-11-01,2003,11,198,538
2004-06-01,2004,6,82,584
2004-07-01,2004,7,41,579
2004-08-01,2004,8,100,634
2004-11-01,2004,11,69,508
2005-01-01,2005,1,296,478
2005-06-01,2005,6,67,530
2005-07-01,2005,7,93,508
2005-11-01,2005,11,45,475
2005-12-01,2005,12,113,474
2006-01-01,2006,1,219,449
2006-08-01,2006,8,5,480
2006-11-01,2006,11,97,507
2006-12-01,2006,12,186,503
2007-01-01,2007,1,4,500
2007-07-01,2007,7,9,533
2007-11-01,2007,11,103,603
2007-12-01,2007,12,195,519
2008-01-01,2008,1,114,504
2008-06-01,2008,6,23,508
2008-11-01,2008,11,674,696
2008-12-01,2008,12,147,727
2009-01-01,2009,1,23,700
2009-06-01,2009,6,21,750
2009-11-01,2009,11,812,732
2009-12-01,2009,12,772,718
2010-01-01,2010,1,310,723
2010-07-01,2010,7,14,1412
2010-08-01,2010,8,12,700
2010-11-01,2010,11,45,828
2010-12-01,2010,12,677,793
2011-01-01,2011,1,197,800
2011-11-01,2011,11,553,943
2011-12-01,2011,12,811,913
2012-01-01,2012,1,25,933
2012-06-01,2012,6,15,1000
2012-07-01,2012,7,8,1095
2012-11-01,2012,11,499,1037
2012-12-01,2012,12,589,1115
2013-01-01,2013,1,183,1071
2013-06-01,2013,6,13,1667
2013-07-01,2013,7,17,1110
2013-08-01,2013,8,5,1300
2013-11-01,2013,11,725,1080
2013-12-01,2013,12,861,1223
2014-01-01,2014,1,423,1196
2014-06-01,2014,6,12,1000
2014-07-01,2014,7,138,1283
2014-08-01,2014,8,105,1277
2014-11-01,2014,11,1662,1020
2014-12-01,2014,12,1253,1028
2015-01-01,2015,1,2506,990
2015-06-01,2015,6,10,800
2015-07-01,2015,7,146,1276
2015-08-01,2015,8,302,1080
2015-11-01,2015,11,1482,1181
2015-12-01,2015,12,957,1215
2016-01-01,2016,1,194,1100
2016-06-01,2016,6,59,1006
2016-07-01,2016,7,10,1000
2016-08-01,2016,8,45,1400
2016-11-01,2016,11,683,1225
2016-12-01,2016,12,173,1380
2017-01-01,2017,1,160,1310
2017-06-01,2017,6,50,1050
2017-07-01,2017,7,217,1224
2017-08-01,2017,8,442,1232
2017-11-01,2017,11,3389,1120
2017-12-01,2017,12,2572,1046
2018-01-01,2018,1,1398,1018
2018-06-01,2018,6,46,1204
2018-07-01,2018,7,33,1425
2018-08-01,2018,8,56,1050
2018-11-01,2018,11,1189,1324
2018-12-01,2018,12,301,1605
2019-01-01,2019,1,297,1789
2019-11-01,2019,11,683,1533
2019-12-01,2019,12,227,1525
