Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,103,511
2002-07-01,2002,7,47,500
2002-08-01,2002,8,124,538
2002-11-01,2002,11,83,563
2002-12-01,2002,12,161,570
2003-06-01,2003,6,1,650
2003-08-01,2003,8,37,550
2003-11-01,2003,11,6,600
2003-12-01,2003,12,70,780
2004-06-01,2004,6,12,558
2004-08-01,2004,8,38,530
2004-11-01,2004,11,50,607
2004-12-01,2004,12,34,637
2005-01-01,2005,1,35,600
2005-06-01,2005,6,51,528
2005-07-01,2005,7,16,600
2010-11-01,2010,11,67,1124
2010-12-01,2010,12,64,1274
2011-01-01,2011,1,40,912
2011-11-01,2011,11,284,1467
2011-12-01,2011,12,90,1730
2012-01-01,2012,1,57,2250
2012-06-01,2012,6,10,2000
2012-08-01,2012,8,24,1370
2012-11-01,2012,11,11,1472
2012-12-01,2012,12,45,2204
2013-01-01,2013,1,41,1752
2013-06-01,2013,6,22,1398
2013-07-01,2013,7,51,1494
2013-08-01,2013,8,15,1700
2014-01-01,2014,1,122,1654
2014-06-01,2014,6,28,1360
2014-07-01,2014,7,39,1402
2014-08-01,2014,8,22,2825
2014-11-01,2014,11,94,1467
2014-12-01,2014,12,57,1117
2015-01-01,2015,1,943,1232
2015-06-01,2015,6,55,1350
2015-07-01,2015,7,266,1462
2015-08-01,2015,8,117,1456
2015-11-01,2015,11,42,2850
2015-12-01,2015,12,79,1876
2016-01-01,2016,1,162,1598
2016-06-01,2016,6,110,3045
2016-07-01,2016,7,105,2781
2016-08-01,2016,8,166,2408
2016-11-01,2016,11,163,4149
2016-12-01,2016,12,442,3648
2017-01-01,2017,1,309,2144
2017-06-01,2017,6,96,2379
2017-07-01,2017,7,39,3474
2017-08-01,2017,8,189,3673
2017-11-01,2017,11,292,2189
2017-12-01,2017,12,289,2408
2018-01-01,2018,1,127,1962
2018-06-01,2018,6,44,1452
2018-07-01,2018,7,98,1404
2018-08-01,2018,8,67,1458
2018-11-01,2018,11,19,1560
2018-12-01,2018,12,37,1750
2019-06-01,2019,6,308,2186
2019-07-01,2019,7,77,3452
2019-12-01,2019,12,22,5321
