Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1,505
2002-07-01,2002,7,12,543
2002-08-01,2002,8,31,576
2002-11-01,2002,11,1569,492
2002-12-01,2002,12,2396,496
2003-01-01,2003,1,1294,506
2003-06-01,2003,6,55,548
2003-07-01,2003,7,56,570
2003-08-01,2003,8,11,511
2003-11-01,2003,11,2732,446
2003-12-01,2003,12,2087,478
2004-01-01,2004,1,1723,472
2004-06-01,2004,6,36,509
2004-07-01,2004,7,2,515
2004-08-01,2004,8,17,533
2004-11-01,2004,11,3866,416
2004-12-01,2004,12,2243,399
2005-01-01,2005,1,873,429
2005-06-01,2005,6,29,445
2005-08-01,2005,8,2,445
2006-01-01,2006,1,1125,470
2006-06-01,2006,6,3,558
2006-12-01,2006,12,1718,663
2007-01-01,2007,1,1299,690
2007-06-01,2007,6,28,698
2007-07-01,2007,7,65,694
2007-08-01,2007,8,97,645
2007-11-01,2007,11,8381,629
2007-12-01,2007,12,4151,692
2008-01-01,2008,1,1652,698
2008-06-01,2008,6,26,802
2008-07-01,2008,7,9,860
2008-08-01,2008,8,6,911
2008-11-01,2008,11,4418,718
2008-12-01,2008,12,3921,730
2009-01-01,2009,1,4255,723
2009-06-01,2009,6,71,779
2009-07-01,2009,7,30,780
2009-08-01,2009,8,16,747
2009-11-01,2009,11,4674,758
2009-12-01,2009,12,2685,769
2010-01-01,2010,1,2625,754
2010-06-01,2010,6,25,871
2010-07-01,2010,7,4,922
2010-08-01,2010,8,5,856
2010-11-01,2010,11,6314,898
2010-12-01,2010,12,9947,880
2011-01-01,2011,1,2663,900
2011-06-01,2011,6,111,1111
2011-07-01,2011,7,22,1087
2011-08-01,2011,8,46,1030
2011-11-01,2011,11,5651,1017
2011-12-01,2011,12,3442,1030
2012-01-01,2012,1,1088,1128
2012-06-01,2012,6,72,1065
2012-07-01,2012,7,13,1237
2012-08-01,2012,8,21,1287
2012-11-01,2012,11,1317,1198
2012-12-01,2012,12,2877,1284
2013-01-01,2013,1,1226,1290
2013-06-01,2013,6,45,1393
2013-07-01,2013,7,9,1404
2013-08-01,2013,8,5,1308
2014-01-01,2014,1,1160,1097
2014-06-01,2014,6,43,1210
2014-07-01,2014,7,19,1242
2014-08-01,2014,8,12,1267
2014-11-01,2014,11,3077,1064
2014-12-01,2014,12,2428,1042
2015-01-01,2015,1,9016,1118
2015-06-01,2015,6,54,1316
2015-07-01,2015,7,3,1394
2015-08-01,2015,8,5,1441
2015-11-01,2015,11,1421,1377
2015-12-01,2015,12,1716,1368
2016-01-01,2016,1,803,1300
2016-06-01,2016,6,5,1595
2016-07-01,2016,7,10,1563
2016-08-01,2016,8,7,1672
2016-11-01,2016,11,3246,1366
2016-12-01,2016,12,2965,1286
2017-01-01,2017,1,1459,1423
2017-06-01,2017,6,43,1585
2017-07-01,2017,7,11,1634
2017-08-01,2017,8,20,1482
2017-11-01,2017,11,6614,1159
2017-12-01,2017,12,3937,1149
2018-01-01,2018,1,2327,1109
2018-06-01,2018,6,154,1212
2018-07-01,2018,7,93,1257
2018-08-01,2018,8,29,1290
2018-11-01,2018,11,1633,1448
2018-12-01,2018,12,1002,1622
2019-01-01,2019,1,876,1768
2019-06-01,2019,6,89,2293
2019-07-01,2019,7,38,2398
2019-08-01,2019,8,336,2351
2019-11-01,2019,11,3420,1735
2019-12-01,2019,12,1913,1897
