Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2009-11-01,2009,11,2,600
2011-08-01,2011,8,4,1050
2011-11-01,2011,11,17,950
2011-12-01,2011,12,7,1050
2012-01-01,2012,1,54,1122
2012-06-01,2012,6,2,925
2012-11-01,2012,11,66,1284
2012-12-01,2012,12,484,1331
2013-01-01,2013,1,431,1346
2013-06-01,2013,6,15,1480
2013-07-01,2013,7,96,1510
2014-01-01,2014,1,382,1131
2014-06-01,2014,6,30,1285
2014-08-01,2014,8,15,1740
2014-11-01,2014,11,514,1066
2014-12-01,2014,12,474,1070
2015-01-01,2015,1,3572,1113
2015-06-01,2015,6,204,1354
2015-08-01,2015,8,40,1300
2015-11-01,2015,11,4764,1349
2015-12-01,2015,12,2987,1385
2016-01-01,2016,1,1949,1398
2016-06-01,2016,6,185,1705
2016-07-01,2016,7,273,1652
2016-08-01,2016,8,41,1488
