Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,3,463
2002-12-01,2002,12,1,465
2003-11-01,2003,11,6,435
2003-12-01,2003,12,2,456
2004-01-01,2004,1,5,486
2004-11-01,2004,11,1,433
2006-11-01,2006,11,22,555
2006-12-01,2006,12,8,606
2007-01-01,2007,1,4,629
2007-11-01,2007,11,4,483
2007-12-01,2007,12,4,561
2008-11-01,2008,11,2,724
2008-12-01,2008,12,2,664
2009-01-01,2009,1,1,725
2009-11-01,2009,11,32,729
2009-12-01,2009,12,12,753
2010-01-01,2010,1,6,735
2010-11-01,2010,11,2,706
2010-12-01,2010,12,15,761
2011-01-01,2011,1,3,794
2011-11-01,2011,11,3,938
2011-12-01,2011,12,4,975
2012-01-01,2012,1,2,1048
2012-11-01,2012,11,1,1148
2014-11-01,2014,11,81,1019
2015-01-01,2015,1,24,998
2015-06-01,2015,6,5,1285
2015-11-01,2015,11,1,1261
2015-12-01,2015,12,1,1249
2016-01-01,2016,1,10,1699
2016-11-01,2016,11,1,1336
2016-12-01,2016,12,6,1291
2017-12-01,2017,12,4,1001
2018-01-01,2018,1,3,1037
2018-07-01,2018,7,1,1217
2018-11-01,2018,11,1,1178
2019-12-01,2019,12,1,1784
