Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,52,480
2002-08-01,2002,8,92,612
2002-11-01,2002,11,10,450
2002-12-01,2002,12,10,500
2003-01-01,2003,1,10,500
2003-07-01,2003,7,5,575
2003-11-01,2003,11,21,489
2004-01-01,2004,1,10,500
2004-08-01,2004,8,10,500
2004-11-01,2004,11,16,526
2004-12-01,2004,12,19,500
2005-01-01,2005,1,27,580
2006-01-01,2006,1,94,481
2006-11-01,2006,11,8,529
2006-12-01,2006,12,5,550
2007-01-01,2007,1,15,672
2007-06-01,2007,6,31,775
2007-07-01,2007,7,12,650
2007-08-01,2007,8,17,2312
2007-11-01,2007,11,123,596
2007-12-01,2007,12,106,556
2008-01-01,2008,1,47,758
2008-11-01,2008,11,82,744
2008-12-01,2008,12,56,800
2009-01-01,2009,1,37,806
2009-06-01,2009,6,25,825
2009-07-01,2009,7,4,796
2009-11-01,2009,11,43,790
2009-12-01,2009,12,12,935
2010-01-01,2010,1,17,820
2010-12-01,2010,12,316,861
2011-01-01,2011,1,23,800
2011-06-01,2011,6,60,1200
2011-07-01,2011,7,148,1072
2011-08-01,2011,8,22,800
2011-11-01,2011,11,215,925
2011-12-01,2011,12,105,986
2012-01-01,2012,1,264,973
2012-06-01,2012,6,138,1140
2012-07-01,2012,7,221,1196
2012-08-01,2012,8,62,1250
2012-11-01,2012,11,241,1175
2012-12-01,2012,12,353,1270
2013-01-01,2013,1,496,1350
2013-06-01,2013,6,90,1212
2013-07-01,2013,7,163,1256
2013-08-01,2013,8,2,1300
2014-01-01,2014,1,453,1250
2014-06-01,2014,6,114,1217
2014-07-01,2014,7,55,1206
2014-08-01,2014,8,31,1217
2014-11-01,2014,11,223,1202
2014-12-01,2014,12,1100,1198
2015-01-01,2015,1,1462,1156
2015-06-01,2015,6,352,1275
2015-07-01,2015,7,147,1300
2015-08-01,2015,8,211,1442
2015-11-01,2015,11,105,1283
2015-12-01,2015,12,290,1361
2016-01-01,2016,1,262,1350
2016-06-01,2016,6,171,1472
2016-07-01,2016,7,42,1314
2016-08-01,2016,8,115,1419
2016-11-01,2016,11,62,1523
2016-12-01,2016,12,132,1505
2017-01-01,2017,1,199,1582
2017-06-01,2017,6,72,1710
2017-11-01,2017,11,465,1404
2017-12-01,2017,12,640,1348
2018-01-01,2018,1,216,1280
2018-06-01,2018,6,29,1314
2018-11-01,2018,11,20,1448
2018-12-01,2018,12,5,1500
2019-01-01,2019,1,211,1775
2019-11-01,2019,11,79,2186
2019-12-01,2019,12,398,2044
