Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,172,502
2002-07-01,2002,7,207,529
2002-08-01,2002,8,92,650
2002-11-01,2002,11,358,490
2002-12-01,2002,12,674,490
2003-01-01,2003,1,496,500
2003-06-01,2003,6,205,558
2003-07-01,2003,7,41,583
2003-08-01,2003,8,21,510
2003-11-01,2003,11,485,456
2003-12-01,2003,12,213,495
2004-01-01,2004,1,572,523
2004-06-01,2004,6,49,550
2004-07-01,2004,7,94,560
2004-08-01,2004,8,16,580
2004-12-01,2004,12,636,457
2017-01-01,2017,1,460,1370
2017-06-01,2017,6,57,1600
2017-07-01,2017,7,10,1625
2017-08-01,2017,8,32,1583
2017-11-01,2017,11,1278,1144
2017-12-01,2017,12,1357,1162
2018-01-01,2018,1,1308,1148
2018-06-01,2018,6,143,1266
2018-07-01,2018,7,41,1303
2018-08-01,2018,8,24,1387
2018-11-01,2018,11,638,1426
2018-12-01,2018,12,286,1611
2019-01-01,2019,1,56,1735
2019-06-01,2019,6,65,2228
2019-07-01,2019,7,3,2450
2019-08-01,2019,8,4,2350
2019-11-01,2019,11,800,1531
2019-12-01,2019,12,536,1809
