Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-01-01,2008,1,173,521
2008-07-01,2008,7,34,620
2008-11-01,2008,11,8,625
2009-11-01,2009,11,103,840
2009-12-01,2009,12,273,821
2010-12-01,2010,12,443,948
2011-01-01,2011,1,216,927
2011-11-01,2011,11,829,1029
2011-12-01,2011,12,528,1018
2012-01-01,2012,1,243,1006
2012-11-01,2012,11,296,1000
2012-12-01,2012,12,389,1314
2013-01-01,2013,1,497,1352
2014-01-01,2014,1,266,1194
2014-12-01,2014,12,10,1100
2015-01-01,2015,1,5481,1129
2015-11-01,2015,11,86,1407
2015-12-01,2015,12,553,1409
2016-01-01,2016,1,198,1329
2016-11-01,2016,11,28,1400
2016-12-01,2016,12,542,1402
2017-01-01,2017,1,156,1427
2017-11-01,2017,11,532,1140
2018-01-01,2018,1,67,1170
