Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2008-11-01,2008,11,3,700
2008-12-01,2008,12,10,700
2009-01-01,2009,1,15,850
2010-12-01,2010,12,51,738
2011-01-01,2011,1,17,920
2012-06-01,2012,6,21,1052
2012-07-01,2012,7,14,1142
2012-08-01,2012,8,140,1138
2012-11-01,2012,11,127,1088
2012-12-01,2012,12,67,1125
2013-06-01,2013,6,24,1275
2013-07-01,2013,7,18,1350
2013-08-01,2013,8,18,1400
2013-11-01,2013,11,10,1100
2013-12-01,2013,12,13,1145
2014-01-01,2014,1,74,1150
2014-07-01,2014,7,48,1400
2014-08-01,2014,8,27,1300
2015-06-01,2015,6,55,1316
2015-11-01,2015,11,72,1294
2015-12-01,2015,12,25,1290
2016-01-01,2016,1,125,1350
2016-11-01,2016,11,14,1300
2016-12-01,2016,12,22,1300
2017-01-01,2017,1,17,1325
2017-06-01,2017,6,33,1312
2017-07-01,2017,7,31,1438
2017-11-01,2017,11,26,1650
2017-12-01,2017,12,71,1210
2018-01-01,2018,1,107,1860
2018-06-01,2018,6,26,1260
2018-07-01,2018,7,45,1335
2018-08-01,2018,8,1,4000
2018-11-01,2018,11,96,1382
2018-12-01,2018,12,112,2080
2019-01-01,2019,1,79,1788
2019-06-01,2019,6,58,2222
2019-07-01,2019,7,23,2638
2019-08-01,2019,8,11,2800
2019-11-01,2019,11,6,2800
2019-12-01,2019,12,44,1674
