Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2006-06-01,2006,6,310,583
2006-07-01,2006,7,29,638
2006-08-01,2006,8,282,726
2006-11-01,2006,11,165,620
2006-12-01,2006,12,4769,653
2007-01-01,2007,1,3039,688
2007-06-01,2007,6,354,717
2007-07-01,2007,7,436,732
2007-08-01,2007,8,503,684
2007-11-01,2007,11,59,600
2007-12-01,2007,12,1864,600
2008-01-01,2008,1,3937,681
2008-06-01,2008,6,2193,864
2008-07-01,2008,7,964,962
2008-08-01,2008,8,748,1050
2008-11-01,2008,11,1027,817
2008-12-01,2008,12,1101,776
2009-06-01,2009,6,54,790
2009-12-01,2009,12,2139,777
2010-01-01,2010,1,12050,829
2010-06-01,2010,6,706,897
2010-07-01,2010,7,2417,986
2010-08-01,2010,8,655,1008
2010-11-01,2010,11,170,917
2010-12-01,2010,12,2748,895
2011-01-01,2011,1,4970,905
2011-06-01,2011,6,2101,1158
2011-07-01,2011,7,898,1119
2011-08-01,2011,8,153,1188
2011-11-01,2011,11,3155,1028
2011-12-01,2011,12,3487,1046
2012-01-01,2012,1,5626,1147
2013-06-01,2013,6,343,1468
2013-07-01,2013,7,388,1508
2013-08-01,2013,8,270,1468
2014-01-01,2014,1,1729,1166
2014-06-01,2014,6,181,1270
2014-07-01,2014,7,88,1264
2014-08-01,2014,8,163,1253
2014-11-01,2014,11,16,1050
2014-12-01,2014,12,41,1143
2015-01-01,2015,1,24908,1149
2015-06-01,2015,6,30,1320
2015-07-01,2015,7,208,1488
2015-08-01,2015,8,174,1468
2015-11-01,2015,11,399,1457
2015-12-01,2015,12,916,1486
2016-06-01,2016,6,459,1621
2016-07-01,2016,7,776,1772
2016-08-01,2016,8,2428,1725
2016-11-01,2016,11,1636,1351
2016-12-01,2016,12,3556,1357
2017-01-01,2017,1,4429,1394
2017-06-01,2017,6,645,1529
2017-07-01,2017,7,1563,1604
2017-08-01,2017,8,276,1517
2017-11-01,2017,11,2007,1190
2017-12-01,2017,12,1852,1173
2018-01-01,2018,1,1679,1153
2018-06-01,2018,6,1845,1328
2018-07-01,2018,7,1463,1372
2018-08-01,2018,8,1654,1418
2018-11-01,2018,11,1947,1448
2018-12-01,2018,12,3477,1583
2019-01-01,2019,1,4613,1752
2019-06-01,2019,6,396,2266
2019-07-01,2019,7,116,2475
2019-08-01,2019,8,29,2150
2019-11-01,2019,11,2516,1833
2019-12-01,2019,12,7490,1874
