Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,181,540
2002-11-01,2002,11,9387,475
2002-12-01,2002,12,5724,503
2003-01-01,2003,1,4216,496
2003-06-01,2003,6,2278,563
2003-07-01,2003,7,8335,600
2003-08-01,2003,8,2193,591
2003-11-01,2003,11,3879,488
2003-12-01,2003,12,6881,493
2004-01-01,2004,1,3722,508
2004-06-01,2004,6,448,588
2004-07-01,2004,7,91,583
2004-08-01,2004,8,1403,553
2005-01-01,2005,1,4281,498
2005-06-01,2005,6,1689,498
2005-07-01,2005,7,2011,512
2005-08-01,2005,8,506,508
2005-11-01,2005,11,1428,502
2005-12-01,2005,12,2758,488
2006-01-01,2006,1,3193,475
2006-06-01,2006,6,2329,517
2006-07-01,2006,7,1783,532
2006-08-01,2006,8,982,583
2006-11-01,2006,11,5151,546
2006-12-01,2006,12,2688,568
2007-01-01,2007,1,1277,601
2007-06-01,2007,6,205,711
2007-07-01,2007,7,189,716
2007-08-01,2007,8,411,687
2007-11-01,2007,11,2617,548
2007-12-01,2007,12,2724,597
2008-01-01,2008,1,4674,605
2008-07-01,2008,7,225,800
2008-08-01,2008,8,1223,902
2008-11-01,2008,11,2201,764
2008-12-01,2008,12,840,742
2009-01-01,2009,1,3298,705
2009-06-01,2009,6,1218,789
2009-07-01,2009,7,407,875
2009-11-01,2009,11,2986,809
2009-12-01,2009,12,3747,793
2010-01-01,2010,1,3404,806
2010-06-01,2010,6,254,837
2010-07-01,2010,7,709,851
2010-12-01,2010,12,4542,795
2011-01-01,2011,1,706,740
2011-06-01,2011,6,492,970
2011-07-01,2011,7,10,1000
2011-08-01,2011,8,336,900
2011-11-01,2011,11,981,860
2011-12-01,2011,12,1588,959
2012-01-01,2012,1,1746,954
2012-06-01,2012,6,40,850
2012-07-01,2012,7,703,985
2012-08-01,2012,8,452,1125
2012-11-01,2012,11,573,1116
2012-12-01,2012,12,2794,1171
2013-01-01,2013,1,4175,1218
2013-06-01,2013,6,253,1156
2013-07-01,2013,7,1000,1294
2013-08-01,2013,8,28,1150
2013-12-01,2013,12,7,1310
2014-01-01,2014,1,492,1462
2014-06-01,2014,6,98,1192
2014-07-01,2014,7,662,1499
2014-08-01,2014,8,509,1200
2014-11-01,2014,11,70,829
2014-12-01,2014,12,1956,1133
2015-01-01,2015,1,18820,1054
2015-06-01,2015,6,1089,1038
2015-07-01,2015,7,610,1108
2015-08-01,2015,8,899,1173
2015-11-01,2015,11,3900,1131
2015-12-01,2015,12,10621,1089
2016-01-01,2016,1,3378,1090
2016-06-01,2016,6,4638,1293
2016-07-01,2016,7,3545,1312
2016-08-01,2016,8,1265,1253
2016-11-01,2016,11,3700,1275
2016-12-01,2016,12,2456,1285
2017-01-01,2017,1,370,1312
2017-06-01,2017,6,461,1267
2017-07-01,2017,7,3643,1384
2017-08-01,2017,8,4878,1301
2017-11-01,2017,11,8122,1043
2017-12-01,2017,12,3454,1071
2018-01-01,2018,1,6896,1093
2018-06-01,2018,6,1367,1192
2018-07-01,2018,7,421,1139
2018-08-01,2018,8,3442,1173
2018-11-01,2018,11,7979,1261
2018-12-01,2018,12,6208,1350
2019-01-01,2019,1,8129,1569
2019-06-01,2019,6,75,1600
2019-07-01,2019,7,95,1567
2019-08-01,2019,8,1047,1786
2019-11-01,2019,11,10328,1549
2019-12-01,2019,12,9363,1608
