Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,6004,541
2002-07-01,2002,7,3219,533
2002-08-01,2002,8,3859,608
2002-11-01,2002,11,25146,486
2002-12-01,2002,12,15540,508
2003-01-01,2003,1,11417,519
2003-06-01,2003,6,5407,565
2003-07-01,2003,7,4066,582
2003-08-01,2003,8,3624,568
2003-11-01,2003,11,23536,506
2003-12-01,2003,12,20706,492
2004-01-01,2004,1,21751,506
2004-06-01,2004,6,2251,557
2004-07-01,2004,7,3431,560
2004-08-01,2004,8,2563,596
2004-11-01,2004,11,32885,482
2004-12-01,2004,12,31337,482
2005-01-01,2005,1,26241,484
2005-06-01,2005,6,6985,521
2005-07-01,2005,7,2299,526
2005-08-01,2005,8,561,541
2005-11-01,2005,11,13195,505
2005-12-01,2005,12,23602,507
2006-01-01,2006,1,24126,502
2006-06-01,2006,6,5484,568
2006-07-01,2006,7,4486,608
2006-08-01,2006,8,2704,618
2006-11-01,2006,11,28768,582
2006-12-01,2006,12,28122,638
2007-01-01,2007,1,20996,655
2007-06-01,2007,6,11112,700
2007-07-01,2007,7,3975,732
2007-08-01,2007,8,6250,718
2007-11-01,2007,11,23586,620
2007-12-01,2007,12,25470,637
2008-01-01,2008,1,32140,652
2008-06-01,2008,6,10080,760
2008-07-01,2008,7,2181,877
2008-08-01,2008,8,7883,1034
2008-11-01,2008,11,12247,830
2008-12-01,2008,12,2602,825
2009-01-01,2009,1,13899,796
2009-11-01,2009,11,16681,808
2010-11-01,2010,11,12795,867
2010-12-01,2010,12,37989,889
2011-01-01,2011,1,17975,895
2012-11-01,2012,11,9527,1290
2012-12-01,2012,12,16669,1360
2013-01-01,2013,1,19749,1372
2013-06-01,2013,6,5983,1432
2013-07-01,2013,7,8080,1508
2013-08-01,2013,8,4753,1504
2013-11-01,2013,11,20258,1394
2013-12-01,2013,12,17553,1154
2014-01-01,2014,1,19880,1127
2014-06-01,2014,6,10838,1299
2014-07-01,2014,7,4208,1337
2014-08-01,2014,8,1212,1346
2014-11-01,2014,11,17612,1083
2014-12-01,2014,12,36339,1096
2015-01-01,2015,1,228723,1105
2015-06-01,2015,6,7371,1297
2015-07-01,2015,7,6753,1388
2015-08-01,2015,8,7687,1471
2015-11-01,2015,11,27781,1385
2015-12-01,2015,12,40465,1422
2016-01-01,2016,1,15639,1428
2016-06-01,2016,6,9271,1559
2016-07-01,2016,7,10111,1644
2016-08-01,2016,8,20070,1681
2016-11-01,2016,11,41466,1368
2016-12-01,2016,12,12157,1419
2017-01-01,2017,1,30961,1452
2017-06-01,2017,6,13498,1547
2017-07-01,2017,7,4085,1608
2017-08-01,2017,8,4720,1641
2017-11-01,2017,11,25509,1211
2017-12-01,2017,12,35371,1195
2018-01-01,2018,1,29158,1164
2018-06-01,2018,6,16596,1253
2018-07-01,2018,7,8329,1244
2018-08-01,2018,8,5693,1366
2018-11-01,2018,11,39426,1463
2018-12-01,2018,12,51532,1652
2019-01-01,2019,1,28518,1795
2019-06-01,2019,6,4935,2193
2019-07-01,2019,7,1121,2386
2019-08-01,2019,8,5372,2169
2019-11-01,2019,11,20928,1783
2019-12-01,2019,12,26720,1916
