Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2004-12-01,2004,12,2,455
2005-01-01,2005,1,28,450
2005-08-01,2005,8,5,500
2006-01-01,2006,1,14,490
2006-06-01,2006,6,5,483
2008-06-01,2008,6,57,718
2008-07-01,2008,7,210,986
2008-08-01,2008,8,49,1030
2008-11-01,2008,11,162,795
2008-12-01,2008,12,60,808
2009-01-01,2009,1,116,734
2009-07-01,2009,7,363,914
2009-08-01,2009,8,6,828
2009-11-01,2009,11,421,767
2009-12-01,2009,12,40,808
2010-01-01,2010,1,73,809
2010-06-01,2010,6,113,932
2010-07-01,2010,7,78,987
2010-08-01,2010,8,73,982
2010-11-01,2010,11,54,838
2010-12-01,2010,12,174,847
2011-01-01,2011,1,188,925
2011-06-01,2011,6,453,1114
2011-07-01,2011,7,246,1147
2011-08-01,2011,8,53,1211
2011-11-01,2011,11,436,989
2011-12-01,2011,12,605,1020
2012-01-01,2012,1,89,1088
2012-06-01,2012,6,278,1061
2012-07-01,2012,7,236,1229
2012-08-01,2012,8,64,1402
2012-11-01,2012,11,779,1188
2012-12-01,2012,12,1525,1230
2013-01-01,2013,1,987,1212
2013-06-01,2013,6,73,1350
2013-07-01,2013,7,127,1475
2013-08-01,2013,8,223,1450
2014-01-01,2014,1,1233,1139
2014-06-01,2014,6,383,1300
2014-07-01,2014,7,246,1320
2014-08-01,2014,8,983,1295
2014-11-01,2014,11,1213,1050
2014-12-01,2014,12,1462,1052
2015-01-01,2015,1,28143,1078
2015-06-01,2015,6,1684,1277
2015-07-01,2015,7,490,1361
2015-08-01,2015,8,185,1364
2015-11-01,2015,11,1915,1300
2015-12-01,2015,12,2348,1404
2016-01-01,2016,1,1218,1360
2016-06-01,2016,6,720,1529
2016-07-01,2016,7,355,1625
2016-08-01,2016,8,225,1662
2016-11-01,2016,11,13764,1292
2016-12-01,2016,12,1097,1280
2017-01-01,2017,1,350,1300
2017-06-01,2017,6,2059,1576
2017-07-01,2017,7,898,1627
2017-08-01,2017,8,317,1586
2017-11-01,2017,11,3667,1218
2017-12-01,2017,12,2377,1174
2018-01-01,2018,1,3475,1185
2018-06-01,2018,6,452,1314
2018-07-01,2018,7,117,1408
2018-08-01,2018,8,201,1481
2018-11-01,2018,11,4046,1380
2018-12-01,2018,12,1019,1538
2019-01-01,2019,1,1984,1978
2019-06-01,2019,6,714,2266
2019-07-01,2019,7,74,2546
2019-08-01,2019,8,161,2471
2019-11-01,2019,11,3505,1862
2019-12-01,2019,12,2602,1898
