Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1,555
2002-08-01,2002,8,1,560
2002-11-01,2002,11,263,487
2002-12-01,2002,12,78,494
2003-01-01,2003,1,30,496
2003-11-01,2003,11,181,461
2003-12-01,2003,12,57,462
2004-01-01,2004,1,26,500
2004-11-01,2004,11,222,460
2004-12-01,2004,12,100,468
2005-01-01,2005,1,47,456
2005-11-01,2005,11,82,469
2005-12-01,2005,12,81,458
2006-01-01,2006,1,74,487
2006-11-01,2006,11,86,690
2006-12-01,2006,12,54,622
2007-01-01,2007,1,9,680
2007-11-01,2007,11,28,567
2007-12-01,2007,12,16,612
2008-01-01,2008,1,4,651
2008-06-01,2008,6,1,815
2008-11-01,2008,11,9,770
2008-12-01,2008,12,12,759
2009-01-01,2009,1,6,745
2009-11-01,2009,11,10,760
2009-12-01,2009,12,32,787
2010-01-01,2010,1,31,767
2010-12-01,2010,12,3,823
2011-11-01,2011,11,15,967
2011-12-01,2011,12,26,1009
2012-01-01,2012,1,13,1063
2012-11-01,2012,11,2,1276
2012-12-01,2012,12,126,1259
2013-01-01,2013,1,5,1293
2014-01-01,2014,1,77,1113
2014-06-01,2014,6,15,1180
2016-11-01,2016,11,495,1353
2016-12-01,2016,12,121,1343
2017-01-01,2017,1,103,1394
2017-06-01,2017,6,34,1535
2017-11-01,2017,11,455,1205
2017-12-01,2017,12,1134,1203
2018-01-01,2018,1,167,1180
2018-06-01,2018,6,3528,1216
2018-07-01,2018,7,894,1269
2018-08-01,2018,8,67,1242
2018-12-01,2018,12,453,1430
2019-01-01,2019,1,598,1806
2019-07-01,2019,7,106,2482
2019-08-01,2019,8,344,2505
2019-11-01,2019,11,10,1639
2019-12-01,2019,12,1473,1842
