Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,1103,534
2002-07-01,2002,7,675,537
2002-08-01,2002,8,1249,657
2002-11-01,2002,11,1320,496
2002-12-01,2002,12,1677,505
2003-01-01,2003,1,1753,508
2003-06-01,2003,6,1081,585
2003-07-01,2003,7,809,588
2003-08-01,2003,8,956,594
2003-11-01,2003,11,3096,506
2003-12-01,2003,12,4949,484
2004-01-01,2004,1,9427,496
2004-06-01,2004,6,917,556
2004-07-01,2004,7,571,552
2004-08-01,2004,8,704,616
2004-11-01,2004,11,7440,499
2004-12-01,2004,12,12924,492
2005-01-01,2005,1,12257,479
2005-06-01,2005,6,676,498
2005-07-01,2005,7,715,528
2005-08-01,2005,8,465,552
2005-11-01,2005,11,2245,497
2005-12-01,2005,12,593,503
2006-01-01,2006,1,3502,517
2006-06-01,2006,6,1969,558
2006-07-01,2006,7,963,556
2006-08-01,2006,8,56,550
2006-11-01,2006,11,6808,612
2006-12-01,2006,12,6505,663
2007-01-01,2007,1,9443,684
2007-06-01,2007,6,1972,727
2007-07-01,2007,7,3339,750
2007-08-01,2007,8,1337,933
2007-11-01,2007,11,4973,640
2007-12-01,2007,12,2670,645
2008-01-01,2008,1,23338,664
2008-06-01,2008,6,4343,849
2008-07-01,2008,7,1507,938
2008-08-01,2008,8,1242,1081
2008-11-01,2008,11,7292,864
2008-12-01,2008,12,2513,859
2009-01-01,2009,1,2335,824
2009-06-01,2009,6,3480,880
2009-07-01,2009,7,570,874
2009-11-01,2009,11,5390,836
2009-12-01,2009,12,15150,852
2010-01-01,2010,1,16920,850
2010-06-01,2010,6,4721,911
2010-07-01,2010,7,5238,974
2010-08-01,2010,8,956,1064
2010-11-01,2010,11,1988,879
2010-12-01,2010,12,10176,880
2011-01-01,2011,1,4143,865
2011-06-01,2011,6,12424,1195
2011-07-01,2011,7,16031,1125
2011-08-01,2011,8,3089,1248
2011-11-01,2011,11,10325,1031
2011-12-01,2011,12,11223,1041
2012-01-01,2012,1,10106,1042
2012-06-01,2012,6,5246,1019
2012-07-01,2012,7,4241,1081
2012-08-01,2012,8,3698,1130
2012-11-01,2012,11,7386,1252
2012-12-01,2012,12,12952,1269
2013-01-01,2013,1,16915,1289
2013-06-01,2013,6,6989,1306
2013-07-01,2013,7,6526,1325
2013-08-01,2013,8,2244,1350
2014-01-01,2014,1,13585,1090
2014-06-01,2014,6,3532,1295
2014-07-01,2014,7,2355,1317
2014-08-01,2014,8,388,1330
2014-11-01,2014,11,3531,1049
2014-12-01,2014,12,8457,1027
2015-01-01,2015,1,159656,1063
2015-06-01,2015,6,881,1293
2015-07-01,2015,7,1950,1316
2015-08-01,2015,8,2227,1381
2015-11-01,2015,11,3015,1535
2015-12-01,2015,12,11034,1441
2016-01-01,2016,1,5039,1406
2016-06-01,2016,6,1569,1725
2016-07-01,2016,7,2282,1846
2016-08-01,2016,8,3999,1805
2016-11-01,2016,11,12805,1411
2016-12-01,2016,12,10612,1417
2017-01-01,2017,1,15006,1433
2017-06-01,2017,6,4097,1592
2017-07-01,2017,7,3203,1673
2017-08-01,2017,8,858,1658
2017-11-01,2017,11,10720,1178
2017-12-01,2017,12,15618,1219
2018-01-01,2018,1,19905,1259
2018-06-01,2018,6,4417,1350
2018-07-01,2018,7,4223,1338
2018-08-01,2018,8,5933,1394
2018-11-01,2018,11,8813,1441
2018-12-01,2018,12,25889,1606
2019-01-01,2019,1,22539,1802
2019-06-01,2019,6,307,2261
2019-07-01,2019,7,856,2499
2019-08-01,2019,8,880,2476
2019-11-01,2019,11,5253,1718
2019-12-01,2019,12,11049,1839
