Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2003-07-01,2003,7,83,600
2003-08-01,2003,8,28,589
2005-07-01,2005,7,14,621
2005-08-01,2005,8,5,555
2006-01-01,2006,1,33,540
2006-07-01,2006,7,46,613
2007-07-01,2007,7,21,762
2007-08-01,2007,8,32,733
2007-11-01,2007,11,183,644
2007-12-01,2007,12,56,708
2008-01-01,2008,1,17,830
2008-06-01,2008,6,18,850
2008-12-01,2008,12,17,910
2009-01-01,2009,1,16,750
2009-06-01,2009,6,4,700
2009-11-01,2009,11,9,930
2009-12-01,2009,12,10,800
2010-01-01,2010,1,10,850
2010-06-01,2010,6,31,900
2010-07-01,2010,7,16,1030
2010-11-01,2010,11,30,927
2011-01-01,2011,1,9,825
2011-06-01,2011,6,50,1120
2011-12-01,2011,12,54,1033
2012-07-01,2012,7,5,850
2012-12-01,2012,12,10,900
2013-01-01,2013,1,104,1060
2013-06-01,2013,6,80,1403
2013-07-01,2013,7,5,925
2013-08-01,2013,8,26,950
2013-11-01,2013,11,9,1902
2014-01-01,2014,1,4,900
2017-01-01,2017,1,28,1336
2017-06-01,2017,6,154,1543
2017-08-01,2017,8,16,1600
2017-11-01,2017,11,206,1191
2017-12-01,2017,12,83,1195
2018-01-01,2018,1,140,1092
2018-06-01,2018,6,86,1083
2018-07-01,2018,7,20,1100
2018-08-01,2018,8,5,1345
2019-11-01,2019,11,287,1765
2019-12-01,2019,12,228,1709
