Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,18,575
2002-12-01,2002,12,10,400
2003-06-01,2003,6,8,550
2003-07-01,2003,7,17,630
2003-11-01,2003,11,87,545
2004-01-01,2004,1,20,481
2004-11-01,2004,11,6,550
2004-12-01,2004,12,82,497
2005-01-01,2005,1,127,473
2005-06-01,2005,6,15,610
2005-12-01,2005,12,5,512
2006-01-01,2006,1,3,518
2006-06-01,2006,6,31,540
2006-07-01,2006,7,59,787
2006-08-01,2006,8,42,534
2006-11-01,2006,11,4,686
2006-12-01,2006,12,9,619
2007-01-01,2007,1,6,711
2007-06-01,2007,6,4,687
2007-11-01,2007,11,57,577
2007-12-01,2007,12,69,584
2008-01-01,2008,1,34,641
2008-08-01,2008,8,1,800
2008-11-01,2008,11,6,850
2008-12-01,2008,12,1,867
2009-01-01,2009,1,3,849
2009-06-01,2009,6,20,858
2009-11-01,2009,11,122,783
2009-12-01,2009,12,107,830
2010-01-01,2010,1,34,818
2010-06-01,2010,6,52,950
2010-11-01,2010,11,9,730
2010-12-01,2010,12,145,890
2011-01-01,2011,1,35,907
2011-08-01,2011,8,10,1280
2011-11-01,2011,11,133,1010
2011-12-01,2011,12,334,1043
2012-01-01,2012,1,82,1025
2012-06-01,2012,6,42,1065
2012-07-01,2012,7,13,1032
2012-11-01,2012,11,22,1167
2012-12-01,2012,12,118,1213
2013-01-01,2013,1,157,1251
2013-07-01,2013,7,30,1450
2013-08-01,2013,8,20,1500
2014-01-01,2014,1,59,1280
2014-11-01,2014,11,48,1315
2014-12-01,2014,12,64,1260
2015-01-01,2015,1,825,1273
2015-07-01,2015,7,63,1312
2015-08-01,2015,8,35,1500
2015-11-01,2015,11,25,1275
2015-12-01,2015,12,251,1419
2016-01-01,2016,1,100,1507
2016-06-01,2016,6,102,1460
2016-07-01,2016,7,78,1622
2016-08-01,2016,8,19,1500
2016-11-01,2016,11,97,1482
2016-12-01,2016,12,55,1426
2017-01-01,2017,1,124,1519
2017-06-01,2017,6,13,1532
2017-07-01,2017,7,40,1600
2017-08-01,2017,8,15,1600
2017-11-01,2017,11,76,1384
2017-12-01,2017,12,78,1287
2018-01-01,2018,1,55,1418
2018-06-01,2018,6,55,1400
2018-07-01,2018,7,18,1367
2018-08-01,2018,8,19,1450
2018-11-01,2018,11,76,1525
2018-12-01,2018,12,47,1580
2019-01-01,2019,1,47,1660
2019-07-01,2019,7,14,1600
2019-11-01,2019,11,106,1927
2019-12-01,2019,12,166,1954
