Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,20,540
2002-07-01,2002,7,10,575
2002-08-01,2002,8,20,625
2002-11-01,2002,11,379,451
2002-12-01,2002,12,77,506
2003-01-01,2003,1,35,445
2003-06-01,2003,6,50,442
2003-07-01,2003,7,47,461
2003-08-01,2003,8,58,514
2003-11-01,2003,11,568,437
2003-12-01,2003,12,147,466
2004-01-01,2004,1,35,488
2004-06-01,2004,6,4,500
2004-08-01,2004,8,21,500
2004-12-01,2004,12,15,500
2005-01-01,2005,1,52,450
2005-11-01,2005,11,245,494
2005-12-01,2005,12,180,472
2006-01-01,2006,1,26,490
2006-11-01,2006,11,304,562
2006-12-01,2006,12,141,595
2007-01-01,2007,1,555,694
2007-06-01,2007,6,24,678
2007-07-01,2007,7,14,660
2007-11-01,2007,11,269,594
2007-12-01,2007,12,845,634
2008-01-01,2008,1,135,651
2008-11-01,2008,11,362,771
2008-12-01,2008,12,473,815
2009-01-01,2009,1,490,828
2009-06-01,2009,6,56,808
2009-11-01,2009,11,533,874
2009-12-01,2009,12,1644,889
2010-01-01,2010,1,972,884
2010-06-01,2010,6,7,800
2010-11-01,2010,11,554,968
2010-12-01,2010,12,1626,978
2011-01-01,2011,1,1652,959
2011-11-01,2011,11,998,1102
2011-12-01,2011,12,3155,1123
2012-01-01,2012,1,955,1144
2012-06-01,2012,6,10,1000
2012-08-01,2012,8,8,1065
2012-11-01,2012,11,400,1368
2012-12-01,2012,12,1001,1442
2013-01-01,2013,1,1062,1401
2013-06-01,2013,6,91,1473
2013-07-01,2013,7,19,1217
2013-08-01,2013,8,61,1505
2014-01-01,2014,1,3269,1242
2014-06-01,2014,6,170,1409
2015-01-01,2015,1,16757,1222
2015-11-01,2015,11,78,2559
2015-12-01,2015,12,708,1486
2016-01-01,2016,1,98,1155
2016-06-01,2016,6,16,1700
2016-07-01,2016,7,6,1500
2016-11-01,2016,11,46,1630
2016-12-01,2016,12,1013,1470
2017-01-01,2017,1,1491,1469
2017-06-01,2017,6,67,1550
2017-07-01,2017,7,95,1643
2017-11-01,2017,11,526,1034
2017-12-01,2017,12,1046,1121
2018-01-01,2018,1,2418,1176
2018-06-01,2018,6,146,1417
2018-07-01,2018,7,128,1250
2018-11-01,2018,11,274,1490
2018-12-01,2018,12,1985,1575
2019-01-01,2019,1,86,1600
2019-06-01,2019,6,30,2500
2019-12-01,2019,12,17,1750
