Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,30,500
2002-11-01,2002,11,6,470
2002-12-01,2002,12,32,495
2003-01-01,2003,1,69,501
2003-06-01,2003,6,30,513
2003-08-01,2003,8,50,515
2003-11-01,2003,11,45,472
2003-12-01,2003,12,157,456
2004-01-01,2004,1,66,492
2004-07-01,2004,7,12,540
2004-08-01,2004,8,24,560
2004-11-01,2004,11,54,456
2004-12-01,2004,12,56,453
2005-01-01,2005,1,65,470
2006-11-01,2006,11,297,577
2006-12-01,2006,12,240,578
2008-06-01,2008,6,177,709
2008-08-01,2008,8,147,940
2008-11-01,2008,11,779,751
2008-12-01,2008,12,57946,743
2009-01-01,2009,1,181,732
2009-06-01,2009,6,8,2102
2009-07-01,2009,7,147,793
2009-08-01,2009,8,128,770
2009-11-01,2009,11,1022,757
2009-12-01,2009,12,1549,797
2010-01-01,2010,1,1830,779
2010-06-01,2010,6,642,790
2010-07-01,2010,7,360,798
2010-08-01,2010,8,936,800
2010-11-01,2010,11,352,842
2010-12-01,2010,12,484,1028
2011-01-01,2011,1,102,850
2011-06-01,2011,6,309,1049
2011-07-01,2011,7,99,1044
2011-08-01,2011,8,253,1053
2015-06-01,2015,6,150,1250
2015-07-01,2015,7,405,1117
2015-08-01,2015,8,1325,1350
2015-11-01,2015,11,386,1306
2015-12-01,2015,12,609,1345
2016-01-01,2016,1,189,1354
2016-06-01,2016,6,407,1499
2016-07-01,2016,7,574,1538
2016-08-01,2016,8,223,1525
2016-11-01,2016,11,1394,1349
2016-12-01,2016,12,832,1357
2017-01-01,2017,1,704,1362
2017-06-01,2017,6,14,1450
2017-08-01,2017,8,3,1550
