Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,1010,433
2002-12-01,2002,12,1046,452
2003-01-01,2003,1,915,484
2003-11-01,2003,11,495,522
2003-12-01,2003,12,63,543
2004-01-01,2004,1,507,513
2004-11-01,2004,11,414,413
2004-12-01,2004,12,291,410
2005-01-01,2005,1,527,409
2005-11-01,2005,11,59,404
2005-12-01,2005,12,182,410
2006-01-01,2006,1,136,405
2006-12-01,2006,12,123,604
2007-01-01,2007,1,217,627
2007-11-01,2007,11,558,611
2007-12-01,2007,12,474,604
2008-01-01,2008,1,626,601
2008-11-01,2008,11,347,724
2008-12-01,2008,12,185,767
2009-01-01,2009,1,351,773
2009-11-01,2009,11,449,872
2009-12-01,2009,12,886,877
2010-01-01,2010,1,561,845
2010-11-01,2010,11,403,757
2010-12-01,2010,12,545,828
2011-01-01,2011,1,1091,789
2011-11-01,2011,11,1139,861
2011-12-01,2011,12,872,846
2012-01-01,2012,1,1077,854
2012-11-01,2012,11,464,1859
2012-12-01,2012,12,482,1894
2013-01-01,2013,1,300,1857
2013-11-01,2013,11,332,1534
2013-12-01,2013,12,278,1567
2014-01-01,2014,1,550,1426
2014-11-01,2014,11,567,1180
2014-12-01,2014,12,480,1389
2015-01-01,2015,1,5659,1456
2015-11-01,2015,11,431,1270
2015-12-01,2015,12,377,1476
2016-01-01,2016,1,839,1466
2016-11-01,2016,11,252,2524
2016-12-01,2016,12,129,2547
2017-01-01,2017,1,106,2485
2017-11-01,2017,11,451,1980
2017-12-01,2017,12,445,1952
2018-01-01,2018,1,525,1864
2018-11-01,2018,11,202,2047
2018-12-01,2018,12,311,2126
2019-01-01,2019,1,276,2267
2019-11-01,2019,11,711,2018
2019-12-01,2019,12,330,2016
2020-01-01,2020,1,303,2146
