Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,115,465
2002-11-01,2002,11,1393,525
2002-12-01,2002,12,1306,530
2003-01-01,2003,1,1263,598
2003-11-01,2003,11,1167,707
2003-12-01,2003,12,934,700
2004-01-01,2004,1,1045,700
2004-11-01,2004,11,809,600
2004-12-01,2004,12,826,516
2005-01-01,2005,1,927,524
2005-11-01,2005,11,322,560
2005-12-01,2005,12,405,560
2006-01-01,2006,1,730,560
2006-11-01,2006,11,876,874
2006-12-01,2006,12,475,913
2007-01-01,2007,1,471,950
2007-11-01,2007,11,1011,900
2007-12-01,2007,12,638,900
2008-01-01,2008,1,576,900
2008-11-01,2008,11,449,1000
2008-12-01,2008,12,297,964
2009-01-01,2009,1,190,964
2009-11-01,2009,11,968,1150
2009-12-01,2009,12,888,1150
2010-01-01,2010,1,676,1220
2010-11-01,2010,11,332,1200
2010-12-01,2010,12,934,1239
2011-01-01,2011,1,797,1192
2011-11-01,2011,11,838,1110
2011-12-01,2011,12,853,1132
2012-01-01,2012,1,934,1123
2012-11-01,2012,11,664,2171
2012-12-01,2012,12,569,2296
2013-01-01,2013,1,658,2074
2014-01-01,2014,1,495,1886
2014-11-01,2014,11,575,2160
2015-01-01,2015,1,5120,2090
2015-11-01,2015,11,313,2050
2015-12-01,2015,12,441,2021
2016-01-01,2016,1,370,2000
2016-11-01,2016,11,485,2676
2016-12-01,2016,12,423,3074
2017-01-01,2017,1,406,3495
2017-11-01,2017,11,508,3250
2017-12-01,2017,12,568,3114
2018-01-01,2018,1,486,2933
2018-11-01,2018,11,508,2950
2018-12-01,2018,12,682,2925
2019-01-01,2019,1,767,2900
2019-11-01,2019,11,530,3177
2019-12-01,2019,12,507,3100
2020-01-01,2020,1,499,2950
