Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,9,400
2002-12-01,2002,12,29,400
2003-01-01,2003,1,30,425
2003-11-01,2003,11,4,500
2004-01-01,2004,1,12,475
2005-12-01,2005,12,122,1200
2007-12-01,2007,12,142,1800
2008-01-01,2008,1,158,1533
2010-12-01,2010,12,8,1150
2014-12-01,2014,12,24,1560
2015-12-01,2015,12,15,1500
2016-01-01,2016,1,29,1500
2017-11-01,2017,11,369,2459
2017-12-01,2017,12,525,2443
2018-01-01,2018,1,185,2275
2018-12-01,2018,12,78,2375
2019-01-01,2019,1,21,2300
2019-11-01,2019,11,81,2310
2019-12-01,2019,12,25,2385
2020-01-01,2020,1,30,3050
