Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,161,426
2002-12-01,2002,12,59,454
2003-01-01,2003,1,69,480
2004-01-01,2004,1,10,520
2004-11-01,2004,11,39,433
2004-12-01,2004,12,41,426
2005-01-01,2005,1,15,425
2005-11-01,2005,11,26,420
2005-12-01,2005,12,25,500
2006-01-01,2006,1,194,402
2007-01-01,2007,1,28,500
2008-01-01,2008,1,6,510
2008-11-01,2008,11,25,742
2009-01-01,2009,1,30,787
2009-11-01,2009,11,8,750
2009-12-01,2009,12,8,750
2010-12-01,2010,12,48,840
2011-01-01,2011,1,37,860
2011-11-01,2011,11,85,800
2011-12-01,2011,12,51,898
2012-01-01,2012,1,8,800
2012-11-01,2012,11,65,1000
2012-12-01,2012,12,40,1533
2013-01-01,2013,1,73,2087
2014-11-01,2014,11,26,1200
2015-11-01,2015,11,11,1400
2015-12-01,2015,12,10,1300
2016-01-01,2016,1,106,1483
2016-11-01,2016,11,11,2420
2016-12-01,2016,12,39,2142
2017-11-01,2017,11,18,1800
2018-01-01,2018,1,20,1700
2018-11-01,2018,11,15,2000
2019-01-01,2019,1,6,2766
2019-11-01,2019,11,97,2065
