Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,80,476
2002-12-01,2002,12,49,498
2003-01-01,2003,1,73,528
2003-11-01,2003,11,8,653
2003-12-01,2003,12,2,625
2004-01-01,2004,1,60,618
2004-11-01,2004,11,5,513
2004-12-01,2004,12,18,500
2005-01-01,2005,1,6,508
2005-11-01,2005,11,22,500
2005-12-01,2005,12,6,467
2006-01-01,2006,1,21,520
2007-11-01,2007,11,8,600
2007-12-01,2007,12,15,600
2008-01-01,2008,1,10,600
2008-11-01,2008,11,3,650
2008-12-01,2008,12,4,850
2009-01-01,2009,1,12,900
2009-12-01,2009,12,2,920
2010-01-01,2010,1,14,928
2010-12-01,2010,12,26,950
2011-11-01,2011,11,14,900
2011-12-01,2011,12,32,942
2012-01-01,2012,1,17,830
2012-12-01,2012,12,25,1550
2013-01-01,2013,1,14,1550
2014-12-01,2014,12,9,1400
2015-01-01,2015,1,290,1462
2015-11-01,2015,11,10,1350
2015-12-01,2015,12,619,1362
2016-01-01,2016,1,351,1450
2017-01-01,2017,1,29,2625
2017-11-01,2017,11,110,2080
2017-12-01,2017,12,98,1950
2018-01-01,2018,1,56,1980
2018-11-01,2018,11,27,2050
2018-12-01,2018,12,70,2460
2019-01-01,2019,1,66,2625
2019-11-01,2019,11,46,2400
2019-12-01,2019,12,5,2500
2020-01-01,2020,1,65,2300
