Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,2,445
2003-01-01,2003,1,1,450
2003-11-01,2003,11,41,513
2003-12-01,2003,12,1,560
2004-01-01,2004,1,3,560
2004-11-01,2004,11,4,500
2004-12-01,2004,12,68,453
2005-01-01,2005,1,110,469
2005-11-01,2005,11,166,394
2005-12-01,2005,12,83,389
2006-01-01,2006,1,419,394
2006-11-01,2006,11,1,525
2006-12-01,2006,12,2,575
2007-01-01,2007,1,1,500
2007-11-01,2007,11,22,492
2007-12-01,2007,12,19,502
2008-01-01,2008,1,39,483
2008-11-01,2008,11,19,750
2008-12-01,2008,12,23,750
2009-01-01,2009,1,30,868
2009-11-01,2009,11,55,870
2009-12-01,2009,12,17,838
2010-01-01,2010,1,51,848
2010-11-01,2010,11,51,772
2010-12-01,2010,12,63,810
2011-11-01,2011,11,51,795
2011-12-01,2011,12,49,871
2012-01-01,2012,1,66,917
2012-11-01,2012,11,38,1860
2012-12-01,2012,12,17,1800
2013-01-01,2013,1,38,1892
2014-01-01,2014,1,26,1457
2014-11-01,2014,11,129,1420
2014-12-01,2014,12,87,1430
2015-01-01,2015,1,1251,1416
2015-11-01,2015,11,423,1308
2015-12-01,2015,12,120,1435
2016-01-01,2016,1,125,1450
2016-11-01,2016,11,65,2438
2016-12-01,2016,12,45,2050
2017-01-01,2017,1,80,2333
2017-11-01,2017,11,37,2022
2017-12-01,2017,12,49,2186
2018-01-01,2018,1,25,1967
2018-11-01,2018,11,22,2275
2018-12-01,2018,12,22,2125
2019-01-01,2019,1,23,2217
2019-11-01,2019,11,41,2017
2019-12-01,2019,12,42,2325
2020-01-01,2020,1,22,2100
