Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,22,333
2003-01-01,2003,1,3,400
2004-12-01,2004,12,3,518
2005-01-01,2005,1,4,500
2006-01-01,2006,1,2,450
2007-01-01,2007,1,1,500
2007-12-01,2007,12,1,500
2008-11-01,2008,11,1,690
2009-11-01,2009,11,20,860
2011-11-01,2011,11,1,900
2012-12-01,2012,12,1,2300
2013-01-01,2013,1,6,1428
2014-01-01,2014,1,7,1550
2014-11-01,2014,11,16,1370
2014-12-01,2014,12,2,1200
2015-01-01,2015,1,46,1467
2015-11-01,2015,11,2,1100
2016-11-01,2016,11,8,1750
2016-12-01,2016,12,1,2800
2017-01-01,2017,1,6,1750
2017-11-01,2017,11,11,2323
2017-12-01,2017,12,6,2450
2018-01-01,2018,1,12,2336
2018-11-01,2018,11,5,1463
2019-12-01,2019,12,3,2000
2020-01-01,2020,1,3,1600
