Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,147,420
2002-12-01,2002,12,126,458
2003-01-01,2003,1,719,476
2003-11-01,2003,11,48,482
2003-12-01,2003,12,76,473
2004-01-01,2004,1,396,465
2004-11-01,2004,11,24,417
2004-12-01,2004,12,160,427
2005-01-01,2005,1,370,431
2005-11-01,2005,11,8,450
2005-12-01,2005,12,18,410
2006-01-01,2006,1,58,407
2007-12-01,2007,12,10,600
2008-01-01,2008,1,36,535
2008-11-01,2008,11,5,650
2009-01-01,2009,1,25,775
2009-11-01,2009,11,49,864
2010-01-01,2010,1,16,757
2010-11-01,2010,11,56,806
2010-12-01,2010,12,98,839
2011-11-01,2011,11,7,800
2011-12-01,2011,12,76,932
2012-01-01,2012,1,43,930
2012-11-01,2012,11,57,1480
2012-12-01,2012,12,32,1555
2013-01-01,2013,1,74,1388
2013-11-01,2013,11,15,1650
2013-12-01,2013,12,76,1475
2014-01-01,2014,1,19,1328
2014-11-01,2014,11,8,1250
2014-12-01,2014,12,53,1317
2015-01-01,2015,1,140,1300
2015-12-01,2015,12,17,1316
2016-11-01,2016,11,7246,2082
2016-12-01,2016,12,143,2157
2017-01-01,2017,1,110,2258
2017-11-01,2017,11,26,1916
2017-12-01,2017,12,72,1879
2018-01-01,2018,1,559,1896
2018-11-01,2018,11,9,1880
2018-12-01,2018,12,28,1967
2019-01-01,2019,1,82,2146
2019-11-01,2019,11,49,1842
2019-12-01,2019,12,260,1980
2020-01-01,2020,1,164,2092
