Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,797,378
2002-12-01,2002,12,650,461
2003-01-01,2003,1,757,487
2003-11-01,2003,11,159,487
2003-12-01,2003,12,107,530
2004-01-01,2004,1,252,514
2004-11-01,2004,11,306,391
2004-12-01,2004,12,568,400
2005-01-01,2005,1,625,401
2005-11-01,2005,11,290,386
2005-12-01,2005,12,247,400
2006-01-01,2006,1,332,409
2006-11-01,2006,11,375,575
2006-12-01,2006,12,95,588
2007-01-01,2007,1,350,621
2007-11-01,2007,11,252,631
2007-12-01,2007,12,187,626
2008-01-01,2008,1,437,625
2008-11-01,2008,11,88,762
2008-12-01,2008,12,100,805
2009-01-01,2009,1,135,812
2009-11-01,2009,11,1924,875
2009-12-01,2009,12,319,877
2010-01-01,2010,1,254,898
2010-11-01,2010,11,132,792
2010-12-01,2010,12,148,821
2011-01-01,2011,1,322,773
2011-11-01,2011,11,493,888
2011-12-01,2011,12,375,888
2012-01-01,2012,1,386,845
2012-11-01,2012,11,192,1597
2012-12-01,2012,12,249,1626
2013-01-01,2013,1,112,1653
2014-01-01,2014,1,163,1482
2015-01-01,2015,1,181,1488
2015-11-01,2015,11,85,1286
2015-12-01,2015,12,73,1400
2016-01-01,2016,1,193,1525
2016-11-01,2016,11,251,2333
2016-12-01,2016,12,58,2442
2017-01-01,2017,1,25,2636
2017-11-01,2017,11,169,2293
2017-12-01,2017,12,160,2225
2018-01-01,2018,1,358,2000
2018-11-01,2018,11,235,2244
2018-12-01,2018,12,292,2230
2019-01-01,2019,1,457,2336
2019-11-01,2019,11,125,2089
2019-12-01,2019,12,89,2162
2020-01-01,2020,1,277,2244
