Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,31,383
2002-12-01,2002,12,72,400
2003-01-01,2003,1,16,428
2004-11-01,2004,11,12,435
2004-12-01,2004,12,11,430
2005-12-01,2005,12,17,400
2006-01-01,2006,1,10,400
2006-11-01,2006,11,41,460
2007-11-01,2007,11,10,600
2009-11-01,2009,11,71,762
2009-12-01,2009,12,43,887
2010-11-01,2010,11,28,963
2010-12-01,2010,12,6,948
2011-11-01,2011,11,17,915
2011-12-01,2011,12,14,1900
2016-11-01,2016,11,134,1940
2016-12-01,2016,12,4692,1950
2019-11-01,2019,11,97,1853
