Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,67,435
2002-12-01,2002,12,12,403
2003-01-01,2003,1,54,477
2003-11-01,2003,11,10,612
2004-11-01,2004,11,10,420
2004-12-01,2004,12,6,425
2005-01-01,2005,1,9,410
2005-11-01,2005,11,344,422
2005-12-01,2005,12,109,401
2006-01-01,2006,1,89,386
2006-11-01,2006,11,153,568
2006-12-01,2006,12,44,536
2007-01-01,2007,1,40,591
2007-11-01,2007,11,22,595
2007-12-01,2007,12,111,605
2009-11-01,2009,11,229,866
2009-12-01,2009,12,20,860
2010-01-01,2010,1,149,822
2010-12-01,2010,12,26,850
2011-01-01,2011,1,34,750
2011-11-01,2011,11,146,911
2011-12-01,2011,12,298,874
2012-01-01,2012,1,670,863
2012-11-01,2012,11,54,1836
2012-12-01,2012,12,14,1700
2013-11-01,2013,11,22,1343
2013-12-01,2013,12,23,1850
2014-01-01,2014,1,21,1338
2014-11-01,2014,11,527,1172
2014-12-01,2014,12,123,1150
2015-01-01,2015,1,567,1312
2015-11-01,2015,11,40,1300
2015-12-01,2015,12,39,1390
2016-01-01,2016,1,40,1428
2016-11-01,2016,11,21,2266
2016-12-01,2016,12,12,2245
2017-01-01,2017,1,9,2400
2017-12-01,2017,12,3,2300
2018-01-01,2018,1,9,1833
2018-11-01,2018,11,87,2112
2018-12-01,2018,12,16,2100
2019-01-01,2019,1,6,2000
2019-11-01,2019,11,11,1950
2019-12-01,2019,12,1,2000
