Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2007-11-01,2007,11,10,565
2008-11-01,2008,11,4,540
2010-12-01,2010,12,17,775
2011-11-01,2011,11,74,913
2011-12-01,2011,12,77,868
2012-01-01,2012,1,67,879
2012-11-01,2012,11,58,2087
2013-01-01,2013,1,23,1400
2013-11-01,2013,11,56,1362
2013-12-01,2013,12,39,1440
2014-01-01,2014,1,56,1456
2014-11-01,2014,11,12,1300
2015-01-01,2015,1,3163,1337
2015-12-01,2015,12,1921,1475
2016-01-01,2016,1,12,1525
2016-11-01,2016,11,7,1650
2017-11-01,2017,11,10,1850
2017-12-01,2017,12,5,2000
2018-01-01,2018,1,16,1900
2019-11-01,2019,11,10,2000
2019-12-01,2019,12,20,3150
2020-01-01,2020,1,23,3150
