Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,22,400
2002-12-01,2002,12,33,404
2003-01-01,2003,1,30,405
2003-11-01,2003,11,2,600
2004-01-01,2004,1,4,530
2004-11-01,2004,11,64,402
2004-12-01,2004,12,86,396
2005-01-01,2005,1,19,396
2006-01-01,2006,1,139,408
2006-11-01,2006,11,6,545
2006-12-01,2006,12,13,590
2007-01-01,2007,1,5,600
2007-11-01,2007,11,6,575
2007-12-01,2007,12,9,595
2008-01-01,2008,1,4,600
2008-11-01,2008,11,18,736
2008-12-01,2008,12,26,928
2009-01-01,2009,1,5,938
2009-11-01,2009,11,5,900
2010-01-01,2010,1,8,1000
2011-11-01,2011,11,12,932
2014-11-01,2014,11,10,1200
2014-12-01,2014,12,3517,1517
2015-01-01,2015,1,45,1505
2015-11-01,2015,11,163,1545
2015-12-01,2015,12,12,1850
2016-01-01,2016,1,120,1846
2016-11-01,2016,11,77,2741
2016-12-01,2016,12,71,2467
2017-01-01,2017,1,101,2760
2017-11-01,2017,11,184,2428
2017-12-01,2017,12,237,2357
2018-01-01,2018,1,298,2142
2018-11-01,2018,11,174,1967
2018-12-01,2018,12,189,2043
2019-01-01,2019,1,489,2062
2019-11-01,2019,11,261,2133
2019-12-01,2019,12,179,2217
2020-01-01,2020,1,116,2500
