Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,120,454
2002-12-01,2002,12,108,376
2003-01-01,2003,1,90,410
2008-01-01,2008,1,6,316
2008-11-01,2008,11,4,750
2009-01-01,2009,1,12,800
2010-01-01,2010,1,14,882
2010-12-01,2010,12,10,1000
2011-11-01,2011,11,3,900
2011-12-01,2011,12,5,800
2012-01-01,2012,1,3,800
2012-11-01,2012,11,3,1000
2012-12-01,2012,12,1,2000
2013-11-01,2013,11,5,1800
2015-12-01,2015,12,17,1450
2016-01-01,2016,1,30,1600
2018-01-01,2018,1,1,2000
2018-12-01,2018,12,10,2000
2019-01-01,2019,1,12,2250
2019-11-01,2019,11,3,1800
2019-12-01,2019,12,7,1456
