Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2005-01-01,2005,1,11,535
2005-12-01,2005,12,5,500
2006-01-01,2006,1,26,483
2006-11-01,2006,11,80,550
2007-11-01,2007,11,5,750
2007-12-01,2007,12,6,750
2008-01-01,2008,1,18,677
2008-11-01,2008,11,1,600
2009-01-01,2009,1,658,940
2011-11-01,2011,11,20,900
2011-12-01,2011,12,10,900
2012-01-01,2012,1,20,965
2013-01-01,2013,1,7,1667
2013-12-01,2013,12,8,1600
2014-01-01,2014,1,7,1600
2014-11-01,2014,11,10,1350
2015-01-01,2015,1,100,1000
2016-01-01,2016,1,366,1635
2016-11-01,2016,11,18,1967
2017-11-01,2017,11,1,3600
2018-12-01,2018,12,1,3200
2019-11-01,2019,11,18,2150
2019-12-01,2019,12,3,1900
