Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,5,450
2003-01-01,2003,1,6,400
2003-12-01,2003,12,2,500
2004-01-01,2004,1,2,500
2004-12-01,2004,12,2,500
2006-11-01,2006,11,34,625
2008-11-01,2008,11,12,900
2008-12-01,2008,12,5,833
2009-01-01,2009,1,3,883
2009-11-01,2009,11,6,991
2009-12-01,2009,12,8,962
2010-01-01,2010,1,7,1160
2010-11-01,2010,11,5,1300
2010-12-01,2010,12,6,933
2011-01-01,2011,1,8,1000
2011-11-01,2011,11,9,1025
2011-12-01,2011,12,6,1000
2012-01-01,2012,1,5,1050
2012-11-01,2012,11,4,1250
2012-12-01,2012,12,2,1600
2013-01-01,2013,1,1,1550
2014-11-01,2014,11,1,1400
2016-01-01,2016,1,31,1500
2016-11-01,2016,11,2,2500
2017-01-01,2017,1,47,3500
2017-12-01,2017,12,3,2650
2018-01-01,2018,1,4,2550
