Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-01-01,2002,1,77,340
2002-11-01,2002,11,87,444
2002-12-01,2002,12,99,472
2003-01-01,2003,1,67,505
2003-11-01,2003,11,69,538
2003-12-01,2003,12,195,557
2004-01-01,2004,1,610,543
2004-11-01,2004,11,153,433
2004-12-01,2004,12,36,431
2005-01-01,2005,1,50,429
2005-11-01,2005,11,167,425
2005-12-01,2005,12,156,420
2006-01-01,2006,1,66,412
2006-11-01,2006,11,101,635
2006-12-01,2006,12,71,602
2007-01-01,2007,1,47,655
2007-11-01,2007,11,32,618
2007-12-01,2007,12,80,621
2008-01-01,2008,1,213,613
2008-11-01,2008,11,91,726
2008-12-01,2008,12,61,806
2009-01-01,2009,1,80,831
2009-11-01,2009,11,110,913
2009-12-01,2009,12,260,890
2010-01-01,2010,1,161,891
2010-11-01,2010,11,79,740
2010-12-01,2010,12,166,821
2011-01-01,2011,1,98,812
2011-11-01,2011,11,36,853
2011-12-01,2011,12,100,868
2012-01-01,2012,1,79,881
2012-11-01,2012,11,81,1843
2012-12-01,2012,12,42,1809
2013-01-01,2013,1,52,1913
2013-11-01,2013,11,2,1460
2013-12-01,2013,12,11,1544
2014-01-01,2014,1,57,1477
2014-11-01,2014,11,138,1240
2014-12-01,2014,12,211,1415
2015-01-01,2015,1,2447,1522
2015-11-01,2015,11,87,1499
2015-12-01,2015,12,33,1624
2016-01-01,2016,1,243,1580
2016-11-01,2016,11,171,2477
2016-12-01,2016,12,54,2327
2017-01-01,2017,1,141,2587
2017-11-01,2017,11,122,2184
2017-12-01,2017,12,257,2165
2018-01-01,2018,1,159,1950
2018-11-01,2018,11,111,2213
2018-12-01,2018,12,107,2247
2019-01-01,2019,1,76,2281
2019-11-01,2019,11,193,2216
2019-12-01,2019,12,224,2254
2020-01-01,2020,1,256,2277
