Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,225,436
2002-12-01,2002,12,80,452
2003-01-01,2003,1,146,454
2003-11-01,2003,11,77,595
2003-12-01,2003,12,45,556
2004-01-01,2004,1,87,592
2004-11-01,2004,11,374,501
2004-12-01,2004,12,362,495
2005-01-01,2005,1,262,475
2005-11-01,2005,11,316,450
2005-12-01,2005,12,341,463
2006-01-01,2006,1,568,475
2006-11-01,2006,11,582,645
2006-12-01,2006,12,339,556
2007-01-01,2007,1,328,623
2007-11-01,2007,11,696,688
2007-12-01,2007,12,717,709
2008-01-01,2008,1,528,704
2008-11-01,2008,11,704,758
2008-12-01,2008,12,266,855
2009-01-01,2009,1,370,900
2009-11-01,2009,11,526,980
2009-12-01,2009,12,697,1020
2010-01-01,2010,1,554,992
2010-11-01,2010,11,162,850
2010-12-01,2010,12,587,855
2011-01-01,2011,1,842,893
2011-11-01,2011,11,761,967
2011-12-01,2011,12,1406,889
2012-01-01,2012,1,801,951
2012-11-01,2012,11,608,2020
2012-12-01,2012,12,196,1666
2013-01-01,2013,1,438,1901
2013-11-01,2013,11,598,1570
2013-12-01,2013,12,2106,1605
2014-01-01,2014,1,859,1644
2014-11-01,2014,11,1056,1438
2014-12-01,2014,12,5773,1579
2015-01-01,2015,1,6524,1586
2015-11-01,2015,11,1050,1435
2015-12-01,2015,12,977,1513
2016-01-01,2016,1,637,1454
2016-11-01,2016,11,16933,2234
2016-12-01,2016,12,376,2462
2017-01-01,2017,1,66,2526
2017-11-01,2017,11,1763,2294
2017-12-01,2017,12,1619,2155
2018-01-01,2018,1,1068,2079
2018-11-01,2018,11,1769,2270
2018-12-01,2018,12,2272,2207
2019-01-01,2019,1,7153,2310
2019-11-01,2019,11,1827,2196
2019-12-01,2019,12,1548,2215
2020-01-01,2020,1,1872,2294
