Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-11-01,2002,11,157,430
2003-11-01,2003,11,5,600
2005-01-01,2005,1,3,480
2005-11-01,2005,11,30,438
2005-12-01,2005,12,177,400
2006-01-01,2006,1,109,402
2006-11-01,2006,11,210,569
2006-12-01,2006,12,25,547
2007-01-01,2007,1,62,561
2007-11-01,2007,11,30,545
2007-12-01,2007,12,25,573
2008-01-01,2008,1,162,595
2008-12-01,2008,12,21,700
2009-01-01,2009,1,18,803
2009-11-01,2009,11,74,775
2009-12-01,2009,12,157,788
2010-01-01,2010,1,85,854
2010-12-01,2010,12,308,834
2011-01-01,2011,1,229,850
2011-11-01,2011,11,186,844
2011-12-01,2011,12,153,896
2012-01-01,2012,1,223,869
2012-11-01,2012,11,20,1150
2012-12-01,2012,12,1,1600
2013-01-01,2013,1,47,1383
2013-12-01,2013,12,73,1450
2014-01-01,2014,1,387,1420
2014-11-01,2014,11,57,1417
2014-12-01,2014,12,129,1443
2015-01-01,2015,1,62,1500
2015-11-01,2015,11,35,1400
2015-12-01,2015,12,86,1504
2016-01-01,2016,1,5498,1620
2016-11-01,2016,11,60,1792
2016-12-01,2016,12,87,2050
2017-01-01,2017,1,56,1861
2017-11-01,2017,11,142,2177
2017-12-01,2017,12,123,2032
2018-01-01,2018,1,536,1782
2018-11-01,2018,11,211,2014
2018-12-01,2018,12,466,2124
2019-01-01,2019,1,1042,2141
2019-11-01,2019,11,142,2075
2019-12-01,2019,12,262,2097
2020-01-01,2020,1,391,2136
