Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,2,1000
2002-11-01,2002,11,1,1000
2002-12-01,2002,12,1,800
2003-07-01,2003,7,5,1200
2003-12-01,2003,12,1,1100
2004-08-01,2004,8,1,900
2004-12-01,2004,12,1,900
2005-01-01,2005,1,1,1200
2006-06-01,2006,6,1,1800
2007-07-01,2007,7,30,600
2008-08-01,2008,8,4,2700
2010-06-01,2010,6,25,900
2011-06-01,2011,6,300,603
2011-08-01,2011,8,340,1100
2013-07-01,2013,7,85,1205
2014-06-01,2014,6,50,1000
2016-07-01,2016,7,8,2000
2018-12-01,2018,12,135,1195
