Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2016-06-01,2016,6,73,2220
2016-07-01,2016,7,34,2206
2016-08-01,2016,8,51,2167
2016-11-01,2016,11,37,2014
2016-12-01,2016,12,32,2279
2017-01-01,2017,1,12,2018
2017-06-01,2017,6,47,1921
2017-07-01,2017,7,22,2211
2017-08-01,2017,8,24,1660
2017-11-01,2017,11,37,2103
2017-12-01,2017,12,37,2112
2018-01-01,2018,1,49,2050
2019-01-01,2019,1,35,1975
2019-06-01,2019,6,46,1650
2019-07-01,2019,7,36,1808
2019-08-01,2019,8,61,1780
2019-11-01,2019,11,6,1900
2019-12-01,2019,12,4,2100
