Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2011-12-01,2011,12,8,1575
2012-01-01,2012,1,44,2033
2012-06-01,2012,6,14,1512
2012-08-01,2012,8,17,1400
2015-06-01,2015,6,5,2250
2015-07-01,2015,7,14,2000
2015-08-01,2015,8,11,3550
2015-11-01,2015,11,5,2000
2015-12-01,2015,12,1,2000
2016-01-01,2016,1,2,2200
2016-06-01,2016,6,17,1917
2016-07-01,2016,7,37,2425
2016-08-01,2016,8,2,2400
2016-11-01,2016,11,44,2180
2016-12-01,2016,12,8,2300
2017-01-01,2017,1,3,2200
2017-07-01,2017,7,3,2650
2017-11-01,2017,11,35,2350
2017-12-01,2017,12,60,2267
2018-01-01,2018,1,72,2357
2018-06-01,2018,6,25,2245
2018-07-01,2018,7,5,1900
2018-11-01,2018,11,47,1960
2018-12-01,2018,12,5,2500
2019-06-01,2019,6,28,2303
2019-07-01,2019,7,32,2050
