Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,6,1150
2002-07-01,2002,7,7,1050
2002-08-01,2002,8,7,1075
2002-11-01,2002,11,2,1200
2002-12-01,2002,12,6,1200
2003-01-01,2003,1,5,1150
2003-06-01,2003,6,17,1358
2003-07-01,2003,7,30,1223
2003-08-01,2003,8,13,1233
2003-11-01,2003,11,18,1250
2004-01-01,2004,1,11,1350
2004-06-01,2004,6,1,1000
2004-08-01,2004,8,1,1000
2004-12-01,2004,12,1,1000
2005-01-01,2005,1,1,1200
2005-06-01,2005,6,1,1200
2005-07-01,2005,7,2,1300
2006-06-01,2006,6,2,1800
2006-07-01,2006,7,50,1800
2006-12-01,2006,12,78,700
2007-11-01,2007,11,1,1400
2010-08-01,2010,8,1,1800
