Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,3131,529
2002-07-01,2002,7,3802,631
2002-08-01,2002,8,3900,676
2002-11-01,2002,11,4361,750
2002-12-01,2002,12,2979,640
2003-01-01,2003,1,2792,672
2003-06-01,2003,6,2349,1095
2003-07-01,2003,7,3779,958
2003-08-01,2003,8,2489,955
2003-11-01,2003,11,3351,611
2003-12-01,2003,12,2706,655
2004-01-01,2004,1,4076,570
2004-06-01,2004,6,710,650
2004-07-01,2004,7,48,650
2004-08-01,2004,8,699,947
2004-11-01,2004,11,1918,1073
2004-12-01,2004,12,1568,742
2005-01-01,2005,1,3170,738
2005-06-01,2005,6,882,1050
2005-07-01,2005,7,1180,1012
2005-08-01,2005,8,2063,944
2005-11-01,2005,11,524,874
2005-12-01,2005,12,2246,723
2006-01-01,2006,1,1259,890
2006-06-01,2006,6,756,1003
2006-07-01,2006,7,1310,900
2006-08-01,2006,8,819,884
2006-11-01,2006,11,859,1067
2006-12-01,2006,12,310,895
2007-01-01,2007,1,1216,1060
2007-06-01,2007,6,2731,1242
2007-07-01,2007,7,2677,1395
2007-08-01,2007,8,2675,1250
2007-11-01,2007,11,2806,1034
2007-12-01,2007,12,3243,686
2008-01-01,2008,1,2495,1028
2008-06-01,2008,6,1601,986
2008-07-01,2008,7,820,1807
2008-08-01,2008,8,753,1903
2008-11-01,2008,11,746,1221
2008-12-01,2008,12,798,1085
2009-01-01,2009,1,2341,1190
2009-06-01,2009,6,1629,1771
2009-07-01,2009,7,1637,1510
2009-08-01,2009,8,184,1800
2009-11-01,2009,11,5079,1598
2009-12-01,2009,12,6788,1519
2010-01-01,2010,1,5259,2072
2010-06-01,2010,6,7558,1426
2010-07-01,2010,7,7561,1469
2010-08-01,2010,8,7380,1385
2010-11-01,2010,11,1791,1475
2010-12-01,2010,12,9574,1430
2011-01-01,2011,1,4685,1156
2011-06-01,2011,6,11022,1032
2011-07-01,2011,7,8530,1063
2011-08-01,2011,8,11580,1173
2011-11-01,2011,11,12157,1218
2011-12-01,2011,12,10118,1216
2012-01-01,2012,1,10010,1215
2012-06-01,2012,6,11182,1249
2012-07-01,2012,7,9826,1301
2012-08-01,2012,8,9369,1453
2012-11-01,2012,11,7946,1488
2012-12-01,2012,12,8274,1543
2013-01-01,2013,1,7437,1622
2013-06-01,2013,6,7245,1636
2013-07-01,2013,7,8376,1674
2013-08-01,2013,8,3011,1592
2014-01-01,2014,1,7835,1590
2014-06-01,2014,6,9773,1738
2014-07-01,2014,7,9514,1623
2014-08-01,2014,8,10606,1780
2014-11-01,2014,11,8536,1800
2014-12-01,2014,12,11287,1839
2015-01-01,2015,1,83436,1787
2015-06-01,2015,6,9386,1824
2015-07-01,2015,7,7598,1662
2015-08-01,2015,8,8892,1619
2015-11-01,2015,11,8244,1686
2015-12-01,2015,12,8300,1676
2016-01-01,2016,1,5852,1678
2016-06-01,2016,6,10490,1816
2016-07-01,2016,7,9389,1822
2016-08-01,2016,8,9391,1866
2016-11-01,2016,11,9764,1904
2016-12-01,2016,12,9520,1829
2017-01-01,2017,1,8073,1802
2017-06-01,2017,6,9210,1898
2017-07-01,2017,7,13110,1857
2017-08-01,2017,8,12935,1891
2017-11-01,2017,11,9482,1905
2017-12-01,2017,12,11392,1896
2018-01-01,2018,1,9887,1933
2018-06-01,2018,6,7190,1937
2018-07-01,2018,7,7838,1854
2018-08-01,2018,8,9101,1909
2018-11-01,2018,11,5976,1933
2018-12-01,2018,12,6518,1905
2019-01-01,2019,1,8237,1844
2019-06-01,2019,6,5437,1807
2019-07-01,2019,7,3693,1852
2019-08-01,2019,8,5577,1859
2019-11-01,2019,11,5842,1924
2019-12-01,2019,12,7708,2052
