Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-07-01,2002,7,10,750
2002-08-01,2002,8,117,1170
2002-11-01,2002,11,243,919
2002-12-01,2002,12,260,985
2003-01-01,2003,1,268,1190
2003-06-01,2003,6,599,1150
2003-07-01,2003,7,159,931
2003-08-01,2003,8,223,992
2003-11-01,2003,11,75,1151
2003-12-01,2003,12,24,1238
2004-01-01,2004,1,79,1046
2004-06-01,2004,6,97,1250
2004-08-01,2004,8,17,1005
2004-12-01,2004,12,5,975
2005-06-01,2005,6,10,1484
2006-01-01,2006,1,56,1182
2006-06-01,2006,6,116,1117
2006-07-01,2006,7,96,1150
2006-08-01,2006,8,1134,1150
2006-12-01,2006,12,38,1150
2007-01-01,2007,1,82,1150
2007-06-01,2007,6,426,1194
2007-07-01,2007,7,1102,1174
2007-08-01,2007,8,611,1195
2007-11-01,2007,11,151,1211
2007-12-01,2007,12,126,1044
2008-01-01,2008,1,19,1067
2008-06-01,2008,6,115,926
2008-07-01,2008,7,144,960
2008-08-01,2008,8,30,1550
2008-11-01,2008,11,88,950
2008-12-01,2008,12,41,1933
2009-01-01,2009,1,34,1525
2009-06-01,2009,6,54,933
2009-07-01,2009,7,76,1046
2009-08-01,2009,8,145,1000
2009-11-01,2009,11,130,1008
2009-12-01,2009,12,9,908
2010-01-01,2010,1,28,1000
2010-06-01,2010,6,16,1347
2010-07-01,2010,7,61,1080
2010-08-01,2010,8,62,1031
2010-11-01,2010,11,25,1150
2010-12-01,2010,12,35,1528
2011-01-01,2011,1,10,940
2011-06-01,2011,6,107,1059
2011-07-01,2011,7,136,1319
2011-08-01,2011,8,199,1112
2011-11-01,2011,11,5,2200
2011-12-01,2011,12,10,1580
2012-01-01,2012,1,25,1310
2012-06-01,2012,6,105,1594
2012-07-01,2012,7,160,1763
2012-08-01,2012,8,62,1360
2012-11-01,2012,11,2,1500
2012-12-01,2012,12,40,2142
2013-01-01,2013,1,24,1625
2013-06-01,2013,6,24,1825
2014-06-01,2014,6,25,1500
2014-07-01,2014,7,30,2310
2014-08-01,2014,8,71,1435
2014-11-01,2014,11,50,2598
2014-12-01,2014,12,2084,1762
2015-01-01,2015,1,150,1200
2015-06-01,2015,6,80,1711
2015-07-01,2015,7,1,2500
2015-08-01,2015,8,40,1510
2015-11-01,2015,11,1,3800
2015-12-01,2015,12,2,2890
2016-01-01,2016,1,14,1500
2016-06-01,2016,6,30,1600
2016-07-01,2016,7,8,1780
2016-08-01,2016,8,40,2056
2016-11-01,2016,11,22,2295
2016-12-01,2016,12,13,2376
2017-06-01,2017,6,55,1826
2017-07-01,2017,7,45,2050
2017-08-01,2017,8,59,1706
2017-11-01,2017,11,70,2717
2017-12-01,2017,12,188,2204
2018-01-01,2018,1,100,2320
2018-06-01,2018,6,115,1801
2018-07-01,2018,7,128,1694
2018-08-01,2018,8,113,2236
2018-11-01,2018,11,174,2307
2018-12-01,2018,12,159,2499
2019-01-01,2019,1,152,1718
2019-06-01,2019,6,893,2023
2019-07-01,2019,7,526,1987
2019-08-01,2019,8,580,2022
2019-11-01,2019,11,154,2049
2019-12-01,2019,12,153,1997
