Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,665,1081
2002-07-01,2002,7,687,789
2002-08-01,2002,8,450,825
2002-11-01,2002,11,692,808
2002-12-01,2002,12,538,810
2003-01-01,2003,1,777,819
2003-06-01,2003,6,665,863
2003-07-01,2003,7,645,917
2003-08-01,2003,8,392,824
2003-11-01,2003,11,629,889
2003-12-01,2003,12,483,882
2004-01-01,2004,1,424,920
2004-06-01,2004,6,218,894
2004-07-01,2004,7,168,903
2004-08-01,2004,8,350,889
2004-11-01,2004,11,420,873
2004-12-01,2004,12,633,884
2005-01-01,2005,1,564,878
2005-06-01,2005,6,246,888
2005-07-01,2005,7,389,907
2005-08-01,2005,8,359,903
2005-11-01,2005,11,210,896
2005-12-01,2005,12,166,919
2006-01-01,2006,1,515,926
2006-06-01,2006,6,859,928
2006-07-01,2006,7,515,946
2006-08-01,2006,8,346,1048
2006-11-01,2006,11,986,939
2006-12-01,2006,12,266,900
2007-01-01,2007,1,722,858
2007-06-01,2007,6,587,886
2007-07-01,2007,7,486,849
2007-08-01,2007,8,272,816
2007-11-01,2007,11,454,1059
2007-12-01,2007,12,470,1150
2008-01-01,2008,1,570,1141
2008-06-01,2008,6,583,1081
2008-07-01,2008,7,512,1145
2008-08-01,2008,8,370,1336
2008-11-01,2008,11,520,1317
2008-12-01,2008,12,295,1344
2009-01-01,2009,1,234,1338
2009-06-01,2009,6,565,1491
2009-07-01,2009,7,303,1400
2009-11-01,2009,11,527,1463
2009-12-01,2009,12,538,1393
2010-01-01,2010,1,566,1587
2010-06-01,2010,6,691,1400
2010-07-01,2010,7,705,1396
2010-08-01,2010,8,605,1486
2010-11-01,2010,11,358,1408
2010-12-01,2010,12,589,1431
2011-01-01,2011,1,142,1258
2011-06-01,2011,6,452,1380
2011-07-01,2011,7,248,1492
2011-08-01,2011,8,421,1434
2011-11-01,2011,11,511,1421
2011-12-01,2011,12,516,1466
2012-01-01,2012,1,534,1488
2012-06-01,2012,6,420,1487
2012-07-01,2012,7,486,1531
2012-08-01,2012,8,294,1611
2012-11-01,2012,11,339,2033
2012-12-01,2012,12,448,2041
2013-01-01,2013,1,501,2150
2013-06-01,2013,6,466,2561
2013-07-01,2013,7,426,2628
2013-08-01,2013,8,165,2536
2014-01-01,2014,1,474,2622
2014-06-01,2014,6,643,2345
2014-07-01,2014,7,272,2365
2014-08-01,2014,8,390,2372
2014-11-01,2014,11,536,2513
2014-12-01,2014,12,532,2486
2015-01-01,2015,1,5171,2424
2015-06-01,2015,6,436,2266
2015-07-01,2015,7,426,2293
2015-08-01,2015,8,437,2288
2015-11-01,2015,11,292,2369
2015-12-01,2015,12,535,2109
2016-01-01,2016,1,358,2179
2016-06-01,2016,6,549,2348
2016-07-01,2016,7,551,2282
2016-08-01,2016,8,523,2317
2016-11-01,2016,11,497,2663
2016-12-01,2016,12,593,2296
2017-01-01,2017,1,479,2203
2017-06-01,2017,6,495,2386
2017-07-01,2017,7,438,2400
2017-08-01,2017,8,383,2388
2017-11-01,2017,11,1150,2370
2017-12-01,2017,12,1035,2378
2018-01-01,2018,1,853,2529
2018-06-01,2018,6,577,2209
2018-07-01,2018,7,519,2210
2018-08-01,2018,8,546,2218
2018-11-01,2018,11,440,2444
2018-12-01,2018,12,677,2512
2019-01-01,2019,1,580,2400
2019-06-01,2019,6,405,2400
2019-07-01,2019,7,320,2485
2019-08-01,2019,8,510,2505
2019-11-01,2019,11,563,2489
2019-12-01,2019,12,639,2502
