Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,109,911
2002-07-01,2002,7,170,839
2002-08-01,2002,8,193,790
2002-11-01,2002,11,86,900
2002-12-01,2002,12,115,706
2003-01-01,2003,1,224,734
2003-06-01,2003,6,435,746
2003-07-01,2003,7,394,822
2003-08-01,2003,8,638,916
2003-11-01,2003,11,309,924
2003-12-01,2003,12,250,888
2004-01-01,2004,1,228,949
2004-06-01,2004,6,1,1500
2004-07-01,2004,7,1,1000
2004-08-01,2004,8,7,1290
2004-11-01,2004,11,13,1250
2004-12-01,2004,12,72,870
2005-01-01,2005,1,40,800
2005-06-01,2005,6,14,1027
2005-07-01,2005,7,2,1200
2005-08-01,2005,8,21,850
2005-11-01,2005,11,3,1500
2006-01-01,2006,1,2,1225
2006-06-01,2006,6,1,1200
2006-07-01,2006,7,6,1100
2006-08-01,2006,8,2,1250
2006-11-01,2006,11,170,926
2006-12-01,2006,12,1,1500
2007-01-01,2007,1,70,838
2007-12-01,2007,12,1,1800
2008-06-01,2008,6,3,1700
2008-07-01,2008,7,7,1985
2008-12-01,2008,12,4,2200
2009-01-01,2009,1,2,2300
2009-06-01,2009,6,1,2450
2009-11-01,2009,11,1,2900
2009-12-01,2009,12,3,2400
2010-08-01,2010,8,3,1900
2010-12-01,2010,12,1,1980
2011-06-01,2011,6,1,1800
2011-07-01,2011,7,2,2300
2011-08-01,2011,8,2,2400
2011-11-01,2011,11,6,2580
2011-12-01,2011,12,7,2025
2012-06-01,2012,6,2,2160
2012-07-01,2012,7,11,2000
2012-12-01,2012,12,2,2300
2013-01-01,2013,1,3,3308
2014-01-01,2014,1,1,3700
2014-11-01,2014,11,1,3520
2015-06-01,2015,6,1,3600
2015-11-01,2015,11,2,3200
2018-01-01,2018,1,1,2800
