Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-08-01,2002,8,5,1000
2002-11-01,2002,11,137,756
2002-12-01,2002,12,98,715
2003-01-01,2003,1,40,917
2003-06-01,2003,6,145,715
2003-07-01,2003,7,117,873
2003-08-01,2003,8,148,728
2003-11-01,2003,11,153,733
2003-12-01,2003,12,70,600
2004-01-01,2004,1,87,762
2004-06-01,2004,6,42,1000
2004-07-01,2004,7,10,1000
2004-08-01,2004,8,60,788
2004-11-01,2004,11,40,800
2004-12-01,2004,12,90,810
2005-01-01,2005,1,55,938
2005-06-01,2005,6,65,1000
2005-07-01,2005,7,89,1000
2005-08-01,2005,8,41,940
2005-11-01,2005,11,22,950
2005-12-01,2005,12,35,1000
2006-01-01,2006,1,24,1167
2006-06-01,2006,6,50,1000
2006-07-01,2006,7,93,890
2006-08-01,2006,8,64,950
2006-11-01,2006,11,25,1000
2006-12-01,2006,12,95,1339
2007-01-01,2007,1,57,1180
2007-06-01,2007,6,35,1380
2007-07-01,2007,7,46,1131
2007-08-01,2007,8,21,897
2007-12-01,2007,12,18,1608
2008-01-01,2008,1,37,1246
2008-06-01,2008,6,8,1000
2008-07-01,2008,7,42,1307
2008-08-01,2008,8,11,900
2008-11-01,2008,11,7,1115
2009-06-01,2009,6,20,2027
2009-07-01,2009,7,12,1467
2009-08-01,2009,8,6,2500
2009-11-01,2009,11,18,2667
2010-01-01,2010,1,1,2800
2011-01-01,2011,1,51,985
2011-11-01,2011,11,1,2400
2011-12-01,2011,12,7,2740
2012-01-01,2012,1,10,2450
2012-06-01,2012,6,4,2300
2012-07-01,2012,7,10,2000
2012-08-01,2012,8,6,3200
2012-11-01,2012,11,9,2400
2012-12-01,2012,12,4,3500
2013-01-01,2013,1,23,2800
2013-06-01,2013,6,1,3500
2013-07-01,2013,7,1,3300
2015-12-01,2015,12,45,2800
2016-06-01,2016,6,21,2300
2016-07-01,2016,7,21,2300
2016-08-01,2016,8,42,2400
2016-11-01,2016,11,19,2700
2016-12-01,2016,12,58,2317
2017-01-01,2017,1,21,3500
2017-08-01,2017,8,21,2100
2018-01-01,2018,1,3,4600
2018-06-01,2018,6,3,5250
2018-07-01,2018,7,67,4125
2018-08-01,2018,8,5,5200
2019-06-01,2019,6,3,3430
2019-07-01,2019,7,32,5292
2019-08-01,2019,8,56,7106
2019-11-01,2019,11,53,3022
