Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,70,919
2002-07-01,2002,7,53,1051
2002-08-01,2002,8,38,846
2002-11-01,2002,11,190,837
2002-12-01,2002,12,20,964
2003-01-01,2003,1,31,960
2003-06-01,2003,6,59,767
2003-07-01,2003,7,82,819
2003-08-01,2003,8,164,830
2003-11-01,2003,11,29,906
2003-12-01,2003,12,23,885
2004-01-01,2004,1,24,910
2004-06-01,2004,6,32,1279
2004-07-01,2004,7,142,865
2004-08-01,2004,8,17,886
2004-11-01,2004,11,21,938
2004-12-01,2004,12,5,969
2005-01-01,2005,1,51,893
2005-06-01,2005,6,2,869
2005-07-01,2005,7,52,852
2005-08-01,2005,8,12,813
2005-11-01,2005,11,1,900
2005-12-01,2005,12,14,888
2006-01-01,2006,1,5,890
2006-06-01,2006,6,18,889
2006-07-01,2006,7,19,877
2006-08-01,2006,8,25,888
2006-11-01,2006,11,152,1042
2006-12-01,2006,12,22,1015
2007-01-01,2007,1,12,1294
2007-06-01,2007,6,22,1000
2007-07-01,2007,7,109,915
2007-08-01,2007,8,44,1063
2007-11-01,2007,11,31,1010
2007-12-01,2007,12,36,1063
2008-01-01,2008,1,10,1000
2008-06-01,2008,6,23,1303
2008-07-01,2008,7,86,1485
2008-08-01,2008,8,2,1000
2008-11-01,2008,11,62,1592
2008-12-01,2008,12,1,1428
2009-01-01,2009,1,12,1358
2009-06-01,2009,6,68,1095
2009-07-01,2009,7,69,1765
2009-11-01,2009,11,1,2000
2009-12-01,2009,12,21,1900
2010-06-01,2010,6,2,1808
2010-07-01,2010,7,11,2000
2010-08-01,2010,8,7,2000
2010-11-01,2010,11,32,2118
2010-12-01,2010,12,1,2000
2011-06-01,2011,6,1,2000
2011-07-01,2011,7,1,2000
2011-08-01,2011,8,22,1584
2011-11-01,2011,11,13,3284
2011-12-01,2011,12,46,2060
2012-01-01,2012,1,4,1180
2012-06-01,2012,6,224,1562
2012-07-01,2012,7,143,1612
2012-08-01,2012,8,130,1514
2012-11-01,2012,11,171,1813
2012-12-01,2012,12,18,4692
2013-01-01,2013,1,136,2333
2013-06-01,2013,6,2,1303
2013-07-01,2013,7,29,1980
2014-01-01,2014,1,32,3385
2014-06-01,2014,6,35,2581
2014-07-01,2014,7,11,2138
2014-08-01,2014,8,14,2400
2014-11-01,2014,11,19,2433
2015-01-01,2015,1,80,1700
2015-06-01,2015,6,31,2188
2015-07-01,2015,7,47,1868
2015-11-01,2015,11,23,1620
2015-12-01,2015,12,3,2400
2016-01-01,2016,1,2,2000
2016-06-01,2016,6,45,1773
2016-11-01,2016,11,23,2220
2016-12-01,2016,12,223,2385
2017-01-01,2017,1,2,4000
2017-06-01,2017,6,137,2118
2017-07-01,2017,7,88,2000
2017-08-01,2017,8,99,2100
2017-11-01,2017,11,89,2096
2017-12-01,2017,12,82,2173
2018-01-01,2018,1,38,2200
2018-06-01,2018,6,142,1940
2018-07-01,2018,7,67,4653
2018-08-01,2018,8,94,2085
2018-11-01,2018,11,1075,2109
2018-12-01,2018,12,1224,2132
2019-01-01,2019,1,1089,2121
2019-07-01,2019,7,1000,2785
2019-08-01,2019,8,800,2785
2019-11-01,2019,11,25,2340
2019-12-01,2019,12,810,2562
