Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,366,672
2002-07-01,2002,7,402,666
2002-08-01,2002,8,370,763
2002-11-01,2002,11,646,832
2002-12-01,2002,12,389,755
2003-01-01,2003,1,550,703
2003-06-01,2003,6,272,757
2003-07-01,2003,7,446,773
2003-08-01,2003,8,539,790
2003-11-01,2003,11,860,748
2003-12-01,2003,12,593,694
2004-01-01,2004,1,587,732
2004-06-01,2004,6,285,887
2004-07-01,2004,7,217,806
2004-08-01,2004,8,81,960
2004-11-01,2004,11,265,945
2004-12-01,2004,12,532,928
2005-01-01,2005,1,712,847
2006-01-01,2006,1,407,919
2006-07-01,2006,7,103,962
2006-08-01,2006,8,459,792
2006-11-01,2006,11,437,742
2006-12-01,2006,12,245,735
2007-01-01,2007,1,117,929
2007-06-01,2007,6,790,790
2007-07-01,2007,7,689,805
2007-08-01,2007,8,710,779
2007-11-01,2007,11,685,931
2007-12-01,2007,12,664,953
2008-01-01,2008,1,515,968
2008-06-01,2008,6,354,1009
2008-07-01,2008,7,444,1108
2008-08-01,2008,8,640,1075
2008-11-01,2008,11,514,1153
2008-12-01,2008,12,311,1144
2009-01-01,2009,1,666,1103
2009-06-01,2009,6,554,1206
2009-11-01,2009,11,488,1288
2009-12-01,2009,12,456,1187
2010-01-01,2010,1,704,1283
2010-06-01,2010,6,1030,1228
2010-07-01,2010,7,1158,1224
2010-08-01,2010,8,898,1222
2010-11-01,2010,11,932,1220
2010-12-01,2010,12,1158,1231
2011-01-01,2011,1,1081,1219
2011-06-01,2011,6,1301,1201
2011-07-01,2011,7,1122,1194
2011-08-01,2011,8,1238,1214
2011-11-01,2011,11,997,1246
2011-12-01,2011,12,1028,1302
2012-01-01,2012,1,996,1316
2012-06-01,2012,6,1169,1433
2012-07-01,2012,7,1136,1456
2012-08-01,2012,8,1342,1488
2012-11-01,2012,11,830,1731
2012-12-01,2012,12,1075,1622
2013-01-01,2013,1,1010,1764
2013-06-01,2013,6,1089,1845
2013-07-01,2013,7,993,1766
2013-08-01,2013,8,348,1652
2014-01-01,2014,1,870,1820
2014-06-01,2014,6,783,1727
2014-07-01,2014,7,1087,1620
2014-08-01,2014,8,1012,1695
2014-11-01,2014,11,792,2009
2014-12-01,2014,12,914,2050
2015-01-01,2015,1,9287,2071
2015-06-01,2015,6,1200,1960
2015-07-01,2015,7,1049,1839
2015-08-01,2015,8,863,1875
2015-11-01,2015,11,782,1915
2015-12-01,2015,12,984,1924
2016-01-01,2016,1,806,1970
2016-06-01,2016,6,955,2020
2016-07-01,2016,7,842,2202
2016-08-01,2016,8,763,2041
2016-11-01,2016,11,889,2416
2016-12-01,2016,12,967,2160
2017-01-01,2017,1,732,2155
2017-06-01,2017,6,800,2139
2017-07-01,2017,7,769,2185
2017-08-01,2017,8,742,2248
2017-11-01,2017,11,892,2282
2017-12-01,2017,12,850,2169
2018-01-01,2018,1,881,2350
2018-06-01,2018,6,780,2076
2018-07-01,2018,7,870,2065
2018-08-01,2018,8,912,1975
2018-11-01,2018,11,1208,2060
2018-12-01,2018,12,1199,2089
2019-01-01,2019,1,855,1980
2019-06-01,2019,6,775,2180
2019-07-01,2019,7,550,2268
2019-08-01,2019,8,1015,2658
2019-11-01,2019,11,1114,2442
2019-12-01,2019,12,1287,2406
