Date,Year,Month,Production(Tonnes),MeanPrice(Rs./Quintal)
2002-06-01,2002,6,279,1342
2002-07-01,2002,7,432,1415
2002-08-01,2002,8,301,1450
2002-11-01,2002,11,186,1452
2002-12-01,2002,12,205,1538
2003-01-01,2003,1,152,1440
2003-06-01,2003,6,227,1502
2003-07-01,2003,7,152,1479
2003-08-01,2003,8,135,1460
2003-11-01,2003,11,270,1282
2003-12-01,2003,12,54,1175
2004-01-01,2004,1,102,1133
2004-06-01,2004,6,25,1100
2004-07-01,2004,7,26,1014
2004-08-01,2004,8,28,1038
2004-11-01,2004,11,51,827
2004-12-01,2004,12,27,950
2005-01-01,2005,1,12,1000
2005-06-01,2005,6,50,933
2006-01-01,2006,1,341,1210
2006-06-01,2006,6,419,926
2006-07-01,2006,7,100,979
2006-08-01,2006,8,54,1075
2006-11-01,2006,11,199,921
2006-12-01,2006,12,119,953
2007-01-01,2007,1,171,976
2007-06-01,2007,6,4,1450
2007-08-01,2007,8,124,1412
2007-11-01,2007,11,157,1612
2007-12-01,2007,12,99,1346
2008-01-01,2008,1,142,1478
2008-06-01,2008,6,221,1412
2008-07-01,2008,7,255,1642
2008-08-01,2008,8,233,1555
2008-11-01,2008,11,245,1717
2008-12-01,2008,12,158,1612
2009-01-01,2009,1,80,1342
2009-06-01,2009,6,31,1217
2009-08-01,2009,8,3,900
2009-11-01,2009,11,32,800
2010-01-01,2010,1,23,1525
2010-06-01,2010,6,8,1900
2010-07-01,2010,7,12,1000
2010-08-01,2010,8,30,1183
2010-12-01,2010,12,21,1600
2011-01-01,2011,1,2,1600
2011-06-01,2011,6,348,1017
2011-07-01,2011,7,33,1082
2011-08-01,2011,8,187,1030
2011-12-01,2011,12,1,1900
2012-01-01,2012,1,25,1597
2012-07-01,2012,7,6,2500
2012-12-01,2012,12,4,1500
2013-06-01,2013,6,2,2500
2013-07-01,2013,7,1,1800
2014-07-01,2014,7,64,1380
2015-01-01,2015,1,15,2200
2015-08-01,2015,8,254,1475
2016-01-01,2016,1,16,1750
2016-11-01,2016,11,10,3300
2017-06-01,2017,6,6,1600
2017-07-01,2017,7,6,2000
2018-12-01,2018,12,4,4000
2019-07-01,2019,7,50,2000
2019-08-01,2019,8,30,2300
2019-11-01,2019,11,26,2140
